Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
01,0.13734339,3838.0403,10072.57,0.38813844,0.08128992,2.15519846326
02,0.11288847,6298.466,19468.674,0.367822,0.053283695,2.10962536091
03,0.07874721,10514.625,43469.426,0.35731742,0.059774265,2.09632874974
04,0.08146065,4632.802,19073.115,0.46495727,0.042161297,2.08970195273
05,0.093607895,3514.3267,10624.699,0.38372296,0.07275267,2.12105734687
06,0.15194255,5292.346,8041.744,0.34367204,0.0786245,2.1596079155
07,0.097095065,10484.319,27814.156,0.2870918,0.04934948,2.09653744967
08,0.12399026,2990.7551,7646.363,0.3955265,0.08236887,2.10286953776
09,0.07584992,3016.705,7047.1475,0.32574382,0.12718473,2.13223126289
10,0.11006044,6346.2476,16767.44,0.35056952,0.048783954,2.08153374453
11,0.07765866,4404.631,15542.383,0.36462745,0.09346704,2.12081675418
12,0.10620193,7161.1504,17538.818,0.27690744,0.05266826,2.07650275601
13,0.098254144,7935.2725,14343.596,0.23518884,0.068153165,2.09463649003
14,0.07624338,3782.682,13233.55,0.32923004,0.0811628,2.11126002771
15,0.069316156,5519.1006,29138.887,0.46774566,0.045910306,2.10496478586
16,0.08664534,7831.1523,15147.22,0.21111001,0.080084324,2.1065227185
17,0.082115196,5419.362,23576.604,0.35888946,0.05891262,2.09923777345
18,0.09033645,7281.3276,14353.665,0.2162206,0.08031201,2.08631332185
19,0.077576526,6422.2544,20630.723,0.3297345,0.06828436,2.10926301398
20,0.11845536,8140.107,11837.239,0.25618422,0.06362219,2.09502544157
21,0.24396387,1142.8029,1154.3765,0.2952897,0.15285124,2.03223767927
22,0.08562239,4950.4546,18912.719,0.40376496,0.04568776,2.09661652777
23,0.120278046,5458.0894,9773.698,0.2826796,0.0747563,2.08460568712
24,0.08506328,4063.2212,14833.594,0.3979389,0.06496404,2.09136909949
25,0.20257415,881.84753,1198.9976,0.26597288,0.19162916,2.10618023886
26,0.08393862,4929.1865,19837.12,0.47948208,0.036733665,2.10063755907
27,0.09231352,3051.9165,5269.862,0.22341378,0.14208536,2.11788917714
28,0.13668707,2001.0636,2920.9307,0.28590205,0.1507584,2.09868906383
29,0.086352065,3199.0264,12507.19,0.49355942,0.044585485,2.08790441071
30,0.2898457,649.8043,548.1059,0.27965376,0.229301,2.10262943506
31,0.09211153,3972.0352,9241.777,0.27113864,0.14758754,2.16305902792
32,0.10688755,2407.5327,6891.8154,0.372504,0.11999302,2.14085181304
