File,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
01,0.123998016,1358.6293,3062.742,0.31466955,0.09926913,2.10236222895
02,0.073090985,10860.039,48011.523,0.38502705,0.033943083,2.08099685573
03,0.088747926,8657.205,33497.098,0.4258781,0.037464738,2.10775882654
04,0.09351576,6596.6104,25958.254,0.41450816,0.04345371,2.09088031004
05,0.08873776,9415.768,28461.979,0.306817,0.052554842,2.08491569567
06,0.11437795,8523.587,19393.873,0.29167533,0.048318382,2.10047338555
07,0.103357635,9600.978,25960.127,0.35911492,0.041783445,2.10191612382
08,0.13224044,7727.77,16626.498,0.3388304,0.055485528,2.10439947963
09,0.26206243,919.9547,1090.4648,0.34329274,0.17563547,2.11810851608
10,0.12975268,9074.457,16414.87,0.2725882,0.05506569,2.07746092702
11,0.26100457,2039.4902,2174.6785,0.43521762,0.124684945,2.10898843135
12,0.040419728,8750.829,12654.996,0.29017136,0.4031037,2.06911736813
13,0.15097687,7554.631,13667.683,0.29774183,0.06607303,2.14654827427
14,0.1284238,7841.688,14530.289,0.2869643,0.053411294,2.07109940066
15,0.2529665,7125.387,9724.124,0.3495607,0.08081696,2.0731056977
