File,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension,LogVolume,LogArea
1,0.123998016,1358.6293,3062.742,0.31466955,0.09926913,2.10236222895,3.48611041414397,3.13310097628673
2,0.073090985,10860.039,48011.523,0.38502705,0.033943083,2.08099685573,4.68134548268246,4.0358313848711
3,0.088747926,8657.205,33497.098,0.4258781,0.037464738,2.10775882654,4.52500718383749,3.93737770160123
4,0.09351576,6596.6104,25958.254,0.41450816,0.04345371,2.09088031004,4.41427547766352,3.81932083512993
5,0.08873776,9415.768,28461.979,0.306817,0.052554842,2.08491569567,4.45426509388245,3.97385574915982
6,0.11437795,8523.587,19393.873,0.29167533,0.048318382,2.10047338555,4.28766454732344,3.93062239834315
7,0.103357635,9600.978,25960.127,0.35911492,0.041783445,2.10191612382,4.4143068127533,3.9823154745364
8,0.13224044,7727.77,16626.498,0.3388304,0.055485528,2.10439947963,4.22080078443082,3.88805418778408
9,0.26206243,919.9547,1090.4648,0.34329274,0.17563547,2.11810851608,3.03761165119625,2.96376644253642
10,0.12975268,9074.457,16414.87,0.2725882,0.05506569,2.07746092702,4.21523744761935,3.95782064704599
11,0.26100457,2039.4902,2174.6785,0.43521762,0.124684945,2.10898843135,3.33739506083254,3.30952162281999
12,0.040419728,8750.829,12654.996,0.29017136,0.4031037,2.06911736813,4.10226201222219,3.94204919737333
13,0.15097687,7554.631,13667.683,0.29774183,0.06607303,2.14654827427,4.13569489747913,3.87821325642124
14,0.1284238,7841.688,14530.289,0.2869643,0.053411294,2.07109940066,4.16227425227855,3.89440955888055
15,0.2529665,7125.387,9724.124,0.3495607,0.08081696,2.0731056977,3.98785048823921,3.85280845708759
