File,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
01,0.07622195,8809.658,38352.44,0.414311,0.034860168,2.0905534069
02,0.08319537,7845.1133,29970.889,0.34838292,0.043086175,2.08621101342
03,0.0882845,8067.8765,29715.312,0.38027596,0.038342003,2.11296301266
04,0.09972076,5414.7324,16981.191,0.33533487,0.058162294,2.10252385799
05,0.1077609,5287.57,13287.297,0.33510655,0.06011327,2.08984006705
06,0.08778436,7861.1255,25797.611,0.33070448,0.038747787,2.08876806424
07,0.09699746,6978.212,20054.582,0.32435676,0.04819631,2.0862453434
08,0.09284576,7885.917,23536.838,0.3234315,0.04404079,2.08375371245
09,0.08211063,10055.16,34809.01,0.3465525,0.032616064,2.08135666191
10,0.109754324,4253.414,9714.887,0.28165978,0.08982041,2.08829372456
11,0.096175596,8099.3477,23214.55,0.3354096,0.043089412,2.08375224404
12,0.12189127,5976.3735,12536.605,0.30518055,0.066321895,2.09219031692
13,0.18345763,3046.4595,4321.0854,0.37373254,0.09768291,2.09829021413
14,0.12151078,7961.021,19109.406,0.3785624,0.042904407,2.09708915543
15,0.118902914,10657.654,26121.219,0.36792842,0.043169197,2.10021498066
