Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
001,0.032741833,34219.883,349188.3,0.38767877,0.029236486,2.12613113171
002,0.027495539,57603.01,684532.06,0.33666363,0.021939477,2.10660159361
003,0.035903886,16199.254,155282.92,0.36657128,0.03463433,2.11212856913
004,0.04238678,18574.637,163602.81,0.33725458,0.04546757,2.13380577824
005,0.037960608,17789.434,170029.25,0.34538266,0.03532145,2.12371411974
006,0.03690809,18689.959,165404.5,0.30384988,0.044709787,2.11916056061
007,0.036608752,18122.291,163430.58,0.32569346,0.038251493,2.10468229114
008,0.045532744,15787.615,146293.55,0.3774161,0.035299018,2.10523225064
009,0.032762356,21090.748,205686.66,0.32731834,0.034533136,2.11837419321
010,0.042685084,19001.28,173913.33,0.29111242,0.046830382,2.1270145676
011,0.03892556,14898.618,139627.25,0.38528985,0.037760228,2.10417575511
012,0.034998666,31257.059,288877.0,0.30959594,0.03563444,2.13173060149
013,0.044706173,20016.184,168609.89,0.29999438,0.043929968,2.10222977967
014,0.037604947,30268.223,311650.78,0.33448148,0.031551603,2.10674072059
015,0.042391155,22295.197,137935.72,0.2114954,0.05364995,2.13313153974
016,0.04216709,19297.88,157106.83,0.30321842,0.040290553,2.11853802652
017,0.041978076,19874.385,155636.33,0.2862219,0.043880984,2.10591231436
018,0.041482612,21792.334,149027.28,0.27934062,0.04476972,2.1181931231
019,0.045808654,16234.797,155539.48,0.32751992,0.039591566,2.11222088727
020,0.029259203,37107.98,480848.53,0.34532514,0.028615607,2.14072282498
021,0.04254896,16488.516,152803.83,0.34955007,0.040845264,2.10127904365
022,0.04206581,16823.936,159070.33,0.3622338,0.034339134,2.13115625518
023,0.036855523,16316.019,166755.1,0.39011645,0.03088325,2.11298461621
024,0.039474666,18080.834,170226.83,0.3521011,0.034883194,2.10250844349
025,0.03379702,28282.635,311189.1,0.35108218,0.03368836,2.12437309366
026,0.039300572,18446.342,164080.47,0.29666996,0.043172415,2.11274721403
027,0.03150409,26849.023,290913.97,0.3556973,0.02888054,2.10756893463
028,0.038576704,20978.424,174071.48,0.30432275,0.04882064,2.1115658647
029,0.05808362,21083.574,155524.11,0.32627165,0.0516804,2.13509457173
030,0.04160889,21213.676,162559.77,0.28080118,0.04169066,2.1006941093
031,0.037781972,18858.248,153232.77,0.31111765,0.05706423,2.1100390234
032,0.047593836,20721.41,157196.55,0.26436564,0.049982127,2.10825521645
033,0.05185385,21439.697,135424.72,0.26339203,0.058469005,2.11733611056
034,0.03131581,21487.736,160226.4,0.29633087,0.064103425,2.09633276596
035,0.039050423,24576.604,163758.4,0.22810112,0.04541571,2.11947302298
036,0.037547108,21019.072,154792.72,0.2913765,0.04441883,2.1047022286
037,0.042157914,22097.97,153279.83,0.27017143,0.046524618,2.11529145967
038,0.065995306,20917.572,117919.32,0.21716815,0.06742309,2.11128293218
039,0.043806978,16761.143,141175.38,0.34630808,0.039745227,2.14195339137
040,0.043196205,31186.25,290269.9,0.33136716,0.048104815,2.11352658863
041,0.03672814,23123.668,235114.7,0.34172982,0.031649828,2.11438168732
042,0.0462953,11450.739,101302.32,0.39757043,0.044192,2.12042432816
043,0.73662186,39619.906,243151.89,0.2857458,0.12436785,2.07081709646
044,0.050909255,19656.537,145282.75,0.2764128,0.06926333,2.11939989426
045,0.03870042,19868.998,160682.47,0.29967627,0.048435457,2.10924613284
046,0.04973257,18181.63,126798.945,0.2834735,0.05981964,2.11950676664
047,0.043913696,16993.234,134360.02,0.311843,0.043967035,2.11481550149
048,0.040354464,20965.797,158786.03,0.30280104,0.046101063,2.11211924722
049,0.03506689,18151.557,145067.42,0.31217417,0.035230976,2.11585981898
050,0.04136576,18989.535,137579.81,0.2795235,0.0468421,2.10241869439
051,0.041717947,35664.586,271388.25,0.25007197,0.039140545,2.10168885041
052,0.03812948,19362.77,147573.78,0.2915976,0.040626273,2.11199553803
053,0.05496044,17016.203,151706.33,0.3728806,0.04447663,2.11255038645
054,0.034002393,25326.336,289653.16,0.36491793,0.026629815,2.1043833268
055,0.034073714,24937.033,283762.72,0.37539068,0.027298419,2.10905369372
056,0.034924358,26616.482,286171.94,0.34076124,0.02803439,2.10132250345
057,0.039557133,14741.885,132203.34,0.37105945,0.032711893,2.11471352285
058,0.0320396,25447.889,278283.06,0.343878,0.027792843,2.11047189759
059,0.042549767,17209.893,129674.33,0.30757722,0.04146905,2.09804851761
060,0.035461225,26464.365,270866.0,0.33671778,0.029443989,2.11005105545
061,0.0363496,26536.445,279075.75,0.31976107,0.03382719,2.11344837598
062,0.034578394,32971.082,248099.02,0.22957005,0.038877506,2.10044252769
063,0.04760708,38606.414,284109.0,0.2567716,0.036561728,2.10764954984
064,0.037354447,20791.162,159707.88,0.3046456,0.04156512,2.10285150056
065,0.032005858,24804.016,296846.84,0.38206413,0.029114798,2.08642447711
066,0.035696767,18607.168,146116.08,0.3174286,0.04696613,2.1354507857
067,0.03296524,26051.977,313320.16,0.38168713,0.031664595,2.11888462541
068,0.026442729,46461.363,594258.44,0.34928194,0.020610452,2.1060244717
069,0.030967772,31434.08,332415.94,0.33115646,0.029369159,2.11356687183
070,0.030258153,33987.574,329510.38,0.296965,0.03407321,2.11731357226
071,0.04470928,21263.31,168505.97,0.28350285,0.041852284,2.11113006147
072,0.04400119,17150.078,159544.95,0.36267662,0.04296255,2.12783150387
073,0.036306266,20563.484,156108.36,0.2599767,0.04728211,2.12329362207
074,0.038149286,17788.912,163301.22,0.34905446,0.03256798,2.11403573862
075,0.03574038,38060.973,315941.9,0.25240698,0.037909314,2.0949083447
076,0.034491442,33918.47,299372.9,0.2977028,0.031193014,2.10942183746
077,0.046987537,20186.86,178244.83,0.3282982,0.037598338,2.09976351158
078,0.034585062,19182.822,160403.36,0.315131,0.038289446,2.11464982266
079,0.03909622,21234.596,154214.83,0.25610143,0.04806381,2.11472806963
080,0.03253889,23941.105,236868.48,0.36590797,0.029632,2.1129239587
081,0.03779067,18931.346,159620.89,0.34243053,0.037459668,2.11335588498
082,0.04562246,19717.62,132448.56,0.26703504,0.051229235,2.09974931884
083,0.04644993,17040.95,153468.27,0.3282254,0.0390564,2.10384182485
084,0.032716032,32536.816,325158.62,0.29163677,0.034217045,2.12352608717
085,0.051996704,18891.07,166830.78,0.30894917,0.042064942,2.12448870692
086,0.03196846,29417.268,301345.0,0.34665295,0.038859878,2.10488013776
087,0.053174555,19741.96,163731.42,0.2783416,0.049074806,2.11227799411
088,0.041522782,27633.781,293868.75,0.36362553,0.030310376,2.1033131212
089,0.033903785,27830.37,286027.3,0.36772424,0.024442127,2.10795002361
090,0.034860007,28743.445,317190.44,0.37131593,0.02560435,2.10564738828
091,0.04112384,20003.01,167145.7,0.34574947,0.03503353,2.09543657183
092,0.032257456,35441.68,312659.28,0.27446753,0.03727292,2.10593049511
093,0.041525733,17155.178,141681.94,0.32107607,0.04206642,2.1102106702
094,0.046589438,19997.055,157478.17,0.2616283,0.044460874,2.09482544903
095,0.03388114,22932.275,216583.47,0.35145456,0.03120483,2.10614632592
096,0.039084986,20712.375,175517.11,0.32741305,0.03387861,2.0999963387
097,0.04174003,20445.486,172358.62,0.32364008,0.032669313,2.10070541287
098,0.04428765,20768.318,170263.03,0.33017763,0.036108304,2.10990784864
099,0.04423184,20484.28,166614.78,0.28807932,0.03906712,2.11338640291
100,0.029357202,39543.95,492614.2,0.34644532,0.032336608,2.11682424166
101,0.039699428,15159.41,143353.06,0.3743896,0.03374472,2.10205476048
102,0.033303607,28417.531,306796.6,0.3327912,0.032771546,2.10361022423
103,0.017655073,58888.23,652598.1,0.32645968,0.06631206,2.10014147405
104,0.044548657,15251.823,144396.5,0.34353036,0.04438696,2.11192396813
105,0.033898875,27937.04,304806.72,0.3637962,0.027174592,2.10280631564
106,0.032255597,24469.13,224212.33,0.32252964,0.037188135,2.12092803953
107,0.029562669,43570.617,509329.28,0.3467782,0.021386942,2.10447764054
108,0.036293805,24372.47,182469.42,0.2643675,0.04152288,2.11288187071
109,0.0451738,36577.305,262827.84,0.21532823,0.040195584,2.10589573826
110,0.03767811,19334.23,149573.22,0.30649674,0.048209626,2.11879513983
111,0.0400209,32723.3,246189.6,0.27008358,0.03519127,2.095185366
112,0.03016924,18702.617,138805.14,0.26505893,0.0637148,2.12350165463
113,0.04299144,14785.797,135889.16,0.37956905,0.03397589,2.12549920731
114,0.037308253,22902.697,266691.62,0.37397066,0.030045869,2.09946517054
115,0.044414815,15823.865,139681.6,0.359111,0.041558146,2.11908560856
116,0.028611168,39959.55,504795.75,0.37643525,0.019578915,2.10126405576
117,0.042437315,16719.621,136113.44,0.31482986,0.04329964,2.09929877031
118,0.044215046,34538.96,237845.33,0.22258857,0.04304709,2.10374838762
119,0.034789264,19049.418,151469.89,0.27808678,0.05497984,2.12119234493
120,0.030168055,44031.3,454505.4,0.34969735,0.024330167,2.09682062637
121,0.03464338,29221.967,274482.28,0.2878529,0.03228291,2.10519322926
122,0.046363663,16324.8,136275.92,0.30498648,0.04120984,2.10149518976
123,0.047111217,31298.531,260936.67,0.28627986,0.0361167,2.10831341237
124,0.038857486,17682.607,141601.2,0.33245882,0.042631112,2.10945344154
125,0.039238065,18043.05,143565.66,0.3112492,0.03584021,2.10184018929
126,0.04129759,18612.166,131188.16,0.2643266,0.07568652,2.11431786102
127,0.03915259,21566.14,234919.02,0.416546,0.0372166,2.1270958282
128,0.038963065,40319.355,418448.25,0.37461185,0.035272554,2.1267078414
129,0.038067836,16354.635,147595.25,0.36345264,0.033436377,2.11746667441
130,0.03962733,15776.583,123526.49,0.33644792,0.04392826,2.11213423438
131,0.04247826,16398.932,145583.02,0.34124893,0.044801548,2.1172394673
132,0.04210657,16956.234,153711.56,0.381765,0.037902217,2.11596184194
133,0.031699356,26259.027,297497.75,0.34863913,0.03190688,2.09984433095
134,0.039947785,15907.536,154870.64,0.3633613,0.038010295,2.11548540276
135,0.033047136,24649.49,262633.12,0.35931945,0.026133267,2.111094311
