Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
1,0.03901075,32280.535,297797.28,0.35912392,0.03446075,2.13375397275
2,0.03904802,14792.9,130098.375,0.3416429,0.039087795,2.1074683131
3,0.039794546,17348.91,138524.45,0.30303124,0.055261735,2.13910798015
4,0.039455995,16550.703,144355.88,0.32929766,0.037165787,2.12869816924
5,0.038564626,17289.236,132846.5,0.29260698,0.051867463,2.12209113632
6,0.041380405,17353.123,147759.98,0.30785105,0.040750932,2.10333399489
7,0.0453799,14505.551,124829.74,0.3696889,0.03666146,2.10204897013
8,0.0323304,19390.672,171120.33,0.3246114,0.033455994,2.11787041973
9,0.03496187,17252.852,140243.1,0.3105984,0.04578204,2.12803215956
10,0.040196788,13543.411,118149.234,0.3590026,0.038469456,2.10162575484
11,0.03313621,29307.787,244562.0,0.3110413,0.03604824,2.13523784275
12,0.036829248,18846.764,150846.94,0.30730376,0.043507677,2.09957374489
13,0.032946732,28477.078,270861.0,0.30633447,0.030881431,2.10475990488
14,0.048312813,21188.17,123350.45,0.23639259,0.050744854,2.11567095403
15,0.038952388,18562.732,140580.36,0.27038285,0.042985678,2.10818856993
16,0.03937685,18938.041,137320.08,0.24542977,0.046621524,2.10820599483
17,0.05628644,20668.324,131680.42,0.25921345,0.053794008,2.12205169337
18,0.040956676,14606.192,129790.96,0.35670182,0.036713574,2.10965107359
19,0.03343021,34919.805,421887.94,0.32322872,0.034741107,2.15056807909
20,0.051150415,14690.432,126199.17,0.35278097,0.041868098,2.09581246097
21,0.044864744,15598.636,137952.98,0.35061237,0.036498193,2.12724921529
22,0.0438084,14942.162,141188.58,0.37045413,0.037406273,2.11677359762
23,0.043792166,16771.844,146187.61,0.3103525,0.04376603,2.10100803834
24,0.040674113,26519.143,266186.4,0.32537058,0.039466508,2.12379553053
25,0.036551513,17133.01,140660.08,0.29003617,0.04756772,2.11518183653
26,0.033516336,24932.516,248693.81,0.3489395,0.029232116,2.10532554226
27,0.042020608,19420.242,149284.45,0.27424574,0.04882212,2.11578173665
28,0.055163622,18790.602,128834.97,0.3221529,0.054344736,2.12514136448
29,0.040572327,19943.023,140141.45,0.28405884,0.04354342,2.10157594915
30,0.043800324,17577.535,132432.39,0.26928726,0.04850992,2.11061351047
31,0.04416662,19864.994,140763.4,0.2547538,0.057933513,2.1133007549
32,0.059806887,20602.596,119233.98,0.24594331,0.060334314,2.12690157787
33,0.040864624,20345.541,142052.14,0.28512594,0.047026876,2.10658443098
34,0.038542986,23116.02,142245.89,0.23328339,0.045353994,2.11853655292
35,0.042973243,19899.266,138648.23,0.31382406,0.045385573,2.09862599547
36,0.044409595,19978.9,123038.89,0.2782627,0.049066845,2.11294080449
37,0.06987861,19612.646,103548.625,0.2582569,0.07015894,2.13574915347
38,0.04293347,15243.526,119261.05,0.3620704,0.038195293,2.1406457084
39,0.04105643,29440.45,242306.28,0.29608098,0.052393876,2.13251648546
40,0.038925294,21658.234,204967.88,0.34671924,0.03280179,2.11497183328
41,0.049637586,10401.987,87024.61,0.4131464,0.043704484,2.11940964512
42,0.16211477,30355.164,189194.02,0.3701935,0.06767417,2.09424506766
43,0.044428393,18119.36,122079.875,0.25928953,0.04892584,2.12446733098
44,0.0562487,18710.232,141082.55,0.30638698,0.05021326,2.1115891105
45,0.05362213,17106.943,111763.42,0.27988428,0.061650973,2.11650195144
46,0.03884297,16094.482,120319.78,0.30040333,0.049507413,2.117069689
47,0.054819543,19254.2,127474.01,0.29179624,0.049493887,2.11969941522
48,0.036165826,17439.135,130840.66,0.2958522,0.044801097,2.11840610512
49,0.040137857,17906.645,121836.69,0.27240092,0.04843586,2.1091409528
50,0.06436329,33557.03,232830.22,0.23473832,0.05139727,2.10007856348
51,0.03692697,18430.947,132456.66,0.28890467,0.038581762,2.1057331226
52,0.040848784,15597.685,130818.586,0.37575457,0.0420958,2.11043104537
53,0.032302592,23834.814,255693.31,0.35996193,0.027304363,2.10724243135
54,0.037920404,23464.822,251396.77,0.3555285,0.03390147,2.1127353797
55,0.046713233,24794.3,247447.52,0.35124457,0.03764031,2.09854216844
56,0.040701248,13675.41,114935.375,0.34878898,0.033724084,2.11702732271
57,0.03430866,24145.29,249825.62,0.35164377,0.030725606,2.11035538757
58,0.04453802,16719.37,121438.0,0.29047275,0.048721537,2.09687946334
