Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
001,0.03726956,30431.162,396589.62,0.4122548,0.031219468,2.12012480265
002,0.039151073,19830.82,214619.73,0.42924172,0.031752925,2.08855232729
003,0.04149948,38041.67,500975.0,0.3892939,0.02563471,2.1114312699
004,0.04081124,16474.73,134594.31,0.32718146,0.040095206,2.10854901397
005,0.03491596,23873.018,215622.36,0.3213962,0.031447403,2.10051189169
006,0.0400195,17511.068,126893.16,0.27783865,0.05501309,2.11942563938
007,0.051438738,20523.082,123514.055,0.2547528,0.05585049,2.11698484118
008,0.031690855,26893.945,214488.64,0.2719797,0.0332134,2.1116674529
009,0.050114308,18875.625,115995.87,0.2638949,0.05945093,2.11622890983
010,0.034568295,30909.822,253905.77,0.30346102,0.04220339,2.11161680133
011,0.04164026,20441.686,131586.9,0.2738592,0.047961406,2.10637772132
012,0.060602266,20127.555,113198.83,0.28919157,0.057307996,2.12546817832
013,0.0667217,21417.73,119033.51,0.26374876,0.061809223,2.11580903546
014,0.047727212,21428.283,123606.0,0.21456169,0.058886427,2.11762134365
015,0.027833957,40743.68,603152.44,0.3721876,0.02506066,2.09971814506
016,0.040014938,20845.688,219890.38,0.41597727,0.034508925,2.11794048214
017,0.02995885,41148.07,550502.3,0.3668991,0.023425229,2.09509198
018,0.0040220525,41779.92,530618.3,0.381113,0.0685982,2.09931877907
019,0.0329942,27973.635,294104.25,0.39147198,0.024977658,2.10492214445
020,0.035889275,31036.086,324911.94,0.32187957,0.027807502,2.10565656794
021,0.044287488,18816.695,146797.28,0.30133826,0.041992396,2.11038125814
022,0.034864385,30694.734,307350.03,0.34210518,0.026133355,2.09790780244
023,0.038111996,20233.637,154903.77,0.26573378,0.04902666,2.1340652743
024,0.034398124,33051.355,319168.2,0.31621832,0.027635897,2.10398319267
025,0.03452692,34380.0,283480.34,0.28435197,0.04042033,2.1076864294
026,0.048804317,18522.637,142254.84,0.2770258,0.0491579,2.10808079337
027,0.044015814,19892.06,142365.72,0.29276878,0.05816741,2.11209616702
028,0.06016491,19463.914,139532.97,0.3221577,0.05264543,2.10607046511
029,0.038291883,23334.852,237402.58,0.37540105,0.04662807,2.10929290081
030,0.032420266,25702.432,273803.56,0.3497429,0.026015894,2.12522290715
031,0.030501243,27591.291,306312.16,0.3749317,0.026500182,2.11445905365
032,0.042864315,16830.51,153819.89,0.38327727,0.04209262,2.11170653602
033,0.035581626,24436.39,243759.66,0.3202958,0.031802546,2.11876883687
034,0.03416954,30614.096,319312.2,0.30420023,0.0315299,2.10542899847
035,0.04402339,17174.982,152508.92,0.30322075,0.03996523,2.10755176065
036,0.033515017,28794.297,310561.25,0.35952193,0.02680438,2.11016842891
037,0.040356826,18667.828,164932.27,0.32710364,0.03669909,2.10303901507
038,0.13796337,36653.062,331496.8,0.2792683,0.049838763,2.09964747145
039,0.04287624,43106.2,315336.97,0.24967317,0.037070468,2.09636877415
040,0.03464482,28175.846,290832.0,0.34631142,0.03463502,2.09931623438
041,0.03638364,23106.025,260356.72,0.366304,0.03883933,2.13249457109
042,0.050159506,26474.469,240379.83,0.4989649,0.031610843,2.29600238171
043,0.027966525,39930.477,538155.06,0.3722786,0.020791994,2.10548531181
044,0.035411097,26727.062,282660.28,0.34899163,0.03238088,2.1118588915
045,0.03470405,22354.125,241183.02,0.40418857,0.02522541,2.11073038253
046,0.030013667,27548.176,300677.66,0.37567604,0.023795636,2.10465498991
047,0.036869522,19869.734,173643.69,0.31758088,0.03737513,2.10536473986
048,0.03800586,33259.793,303836.56,0.32789874,0.032045104,2.09172655147
049,0.038105536,18133.53,152572.73,0.32535064,0.03802185,2.11238257828
050,0.046713103,18272.91,151217.38,0.30656758,0.04090556,2.10305400903
051,0.043017212,19777.594,138141.48,0.29516742,0.04414072,2.09667614674
052,0.057488784,21541.746,107533.81,0.26350653,0.06208499,2.13063155761
053,0.053526346,21736.092,147811.5,0.26684368,0.048256777,2.0968606762
054,0.057896852,19979.996,127698.68,0.2660213,0.06739748,2.10933542104
055,0.04723421,30254.146,340660.66,0.32958898,0.031537544,2.09848438994
056,0.03317479,33898.617,350354.3,0.29244184,0.028454637,2.10773993894
057,0.033048194,33175.094,355131.8,0.328433,0.025833165,2.10382430516
058,0.04026979,18791.945,162293.6,0.29887053,0.03945579,2.10535015497
059,0.03487215,25042.172,249177.89,0.3366631,0.032034732,2.12471312493
