Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
1,0.03370867,27736.143,340031.94,0.42087492,0.030466875,2.11735845387
2,0.041787725,17789.719,178187.28,0.40374973,0.036370065,2.08426372015
3,0.028744312,36211.91,453908.7,0.38966078,0.018382126,2.10702096949
4,0.042484373,15773.967,123266.875,0.30686033,0.043502867,2.11703742969
5,0.03597838,23106.244,199302.16,0.30264413,0.034460187,2.10091425224
6,0.04208799,16983.91,118905.83,0.29074308,0.05286588,2.11309668976
7,0.051918164,19671.822,111469.51,0.25792363,0.054860856,2.11442067544
8,0.033922553,26053.412,198522.3,0.27709877,0.03267766,2.11207017156
9,0.04793094,18583.027,114358.03,0.28906566,0.055996597,2.11139167032
10,0.042703085,30351.09,235572.8,0.2938638,0.039904613,2.11200991203
11,0.04058304,19849.54,124313.06,0.29092538,0.052152824,2.10767826741
12,0.05375414,20112.61,115230.33,0.30697006,0.05091481,2.11472376565
13,0.12506783,21039.008,117285.48,0.2811294,0.062065914,2.10205855443
14,0.049202662,21501.088,125234.914,0.23208833,0.058173638,2.12073399439
15,0.03160868,38027.266,522691.12,0.3645659,0.025971225,2.10141411411
16,0.041488055,18327.266,177884.23,0.4162552,0.03768744,2.11269338618
17,0.030206967,38828.61,479757.28,0.3287975,0.026279861,2.09559368635
18,0.02979695,39630.188,469826.97,0.37679708,0.01871047,2.09505470988
19,0.033889435,27104.818,271194.72,0.34999678,0.026911277,2.1016944513
20,0.035140175,29954.432,304741.72,0.33844268,0.025945406,2.10359121635
21,0.041648705,18155.613,138131.86,0.30935317,0.04281159,2.10582867028
22,0.036446285,29509.637,282235.03,0.3812375,0.023074247,2.09354454746
23,0.040528905,19526.232,140207.05,0.26865283,0.051542412,2.13856685676
24,0.033591714,31786.828,292624.2,0.3211336,0.024571387,2.10036923918
25,0.11230809,33097.457,250855.66,0.2722536,0.050844394,2.10767925347
26,0.05138524,17715.016,130620.055,0.30853269,0.044569533,2.10195948078
27,0.051228903,19630.537,135586.19,0.3048435,0.0649806,2.12194936884
28,0.047949683,19277.41,138009.61,0.33198962,0.049029082,2.09882931672
29,0.03419781,22571.197,221204.97,0.36073193,0.030555395,2.11134104875
30,0.036959227,24325.713,240536.98,0.32796454,0.031507656,2.11231138473
31,0.031614937,26778.104,288056.25,0.39583647,0.024940128,2.10961199239
32,0.041574758,15877.116,135939.12,0.3778097,0.041764513,2.12001296987
33,0.032673784,23276.621,217686.75,0.31650946,0.031529307,2.11601894388
34,0.033753563,29123.568,283315.25,0.2901141,0.03470931,2.10477591856
