Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
001,0.04593653,11733.6045,99245.19,0.39652637,0.044996176,2.12564902088
002,0.03270576,22511.277,201685.1,0.3192449,0.034642432,2.1042957873
003,0.035856396,23187.854,212877.14,0.31917736,0.030018581,2.10209311245
004,0.073742,20094.61,116230.53,0.28926107,0.056179967,2.12175737801
005,0.037589576,22509.96,175133.73,0.29246175,0.034618672,2.1007978319
006,0.03688926,25073.584,239781.12,0.3637397,0.02467261,2.09485306845
007,0.047941167,15468.432,122005.97,0.33286172,0.04017296,2.09803109673
008,0.044518013,19820.467,140099.31,0.30170938,0.042329416,2.10385758822
009,0.047252007,18259.092,112387.01,0.28871384,0.043441262,2.09752889072
010,0.044179097,17892.596,119704.3,0.295515,0.046346504,2.09595957718
011,0.04045846,17553.86,103491.14,0.28097698,0.04177424,2.09822041871
012,0.04601764,36004.164,227878.19,0.25511423,0.035841834,2.08618607049
013,0.042430867,19275.299,123359.984,0.27402586,0.044770643,2.12643546178
014,0.057828154,17269.979,81518.86,0.24263668,0.061199814,2.11334996126
015,0.041519165,19683.658,115267.96,0.2756171,0.044000708,2.11282790234
016,0.053942204,16706.867,69354.13,0.22782287,0.06368064,2.10813931276
017,0.09283802,12058.05,37936.547,0.31737128,0.07844881,2.13384333828
018,0.041554373,26619.465,206689.88,0.35827026,0.05219865,2.12367896697
019,0.031629857,23147.951,187173.75,0.28444552,0.046032418,2.11870671443
020,0.032188307,24344.22,176879.53,0.24818537,0.046690423,2.11686732089
021,0.03698969,24904.379,214760.62,0.3476364,0.031482667,2.09931985587
022,0.036767785,23594.26,224107.11,0.3106107,0.031074459,2.1149170508
023,0.032261647,25266.69,202532.22,0.2855014,0.0430008,2.12558721218
024,0.05673302,15539.78,97725.56,0.26279253,0.06756322,2.10509772471
025,0.037361193,22806.006,211233.78,0.4326192,0.021671463,2.10218177072
026,0.042581286,16956.846,114840.164,0.28314283,0.050940868,2.11710197898
027,0.035050366,24666.697,250314.31,0.37089625,0.025948567,2.12006060825
028,0.05050856,19214.303,115829.23,0.250912,0.060013566,2.12134317734
029,0.05389964,17027.447,82084.54,0.22163804,0.07729964,2.13852294235
030,0.036316574,26448.97,245960.4,0.35353106,0.024779288,2.11028674886
031,0.053836618,14995.561,73985.38,0.26615906,0.069959335,2.12542565232
032,0.099059865,13103.55,52527.23,0.3807753,0.087056,2.17139370629
033,0.044573467,15930.214,111369.55,0.3369434,0.038905993,2.09692810445
034,0.045679983,16270.599,102232.84,0.27235165,0.049810056,2.10663075408
035,0.053263895,17345.55,82938.88,0.26064813,0.05458863,2.10276003601
036,0.08202279,12712.541,45101.617,0.3287647,0.084047526,2.192695862
037,0.037372857,13441.785,113901.07,0.34657836,0.04657421,2.12149827172
038,0.035000257,24038.508,246036.16,0.38353595,0.023615627,2.12339869952
039,0.03620793,32133.15,328538.6,0.3469696,0.028620822,2.10887395662
040,0.03812666,25899.973,230830.16,0.33532348,0.028258936,2.09921236985
041,0.0414769,19461.15,157758.08,0.326684,0.03346942,2.09731192613
042,0.034950316,31630.506,279873.38,0.31937504,0.033610802,2.11505394812
043,0.026885334,45644.297,443157.75,0.30461106,0.027726673,2.10072967509
044,0.04123304,17227.736,127254.414,0.31208393,0.03514049,2.10478472156
045,0.042580612,19784.273,147910.42,0.32648656,0.03257868,2.09554193556
046,0.050856195,18800.297,110294.555,0.2759028,0.043611046,2.09193591726
047,0.045544147,20059.344,120032.13,0.27904895,0.04024618,2.10497910599
048,0.054589607,17198.576,79897.04,0.2446378,0.06591116,2.10651446362
049,0.03543153,21583.871,235439.22,0.41025266,0.025052337,2.10133576684
050,0.03460916,20769.176,216816.88,0.37313083,0.032408748,2.10138681112
051,0.03697018,22885.096,213268.84,0.3313403,0.031524617,2.10495581066
052,0.036036316,26145.916,260554.19,0.32384536,0.037302222,2.10707279275
053,0.03925724,28509.252,254158.8,0.32365498,0.028483419,2.10522290926
054,0.038816687,14775.261,121391.44,0.38674304,0.03085766,2.11065582943
055,0.049511593,16672.252,111324.96,0.30854213,0.051022243,2.10820340405
056,0.047754455,33828.156,209229.72,0.29160246,0.0680577,2.11525715001
057,0.060662925,19482.484,97329.52,0.2502846,0.06438851,2.104917621
058,0.058719374,32796.914,195854.66,0.25242397,0.04612525,2.09322892774
059,0.046071474,16700.389,114379.35,0.35359696,0.03891281,2.11228699678
060,0.044793718,19548.975,132852.45,0.2974812,0.037295714,2.09629310921
061,0.03983758,19073.686,115604.83,0.2751394,0.047234386,2.09332777422
062,0.03933751,19971.27,188115.73,0.35413456,0.029894913,2.10513724054
063,0.03624016,23470.205,215302.14,0.37326905,0.028288068,2.10592255728
064,0.03853954,23236.166,211990.58,0.35060516,0.0285125,2.10337873447
065,0.24994305,23279.81,90375.3,0.2900965,0.099151134,2.13039088331
066,0.0434939,18777.463,153290.9,0.31561676,0.040917333,2.10671038768
067,0.043525424,16070.045,114661.016,0.30562225,0.046007678,2.11230249735
068,0.041695997,17743.799,121606.59,0.27197087,0.050495513,2.09450420623
069,0.04511616,15735.529,96224.07,0.27240184,0.06421803,2.13250014314
070,0.052879196,19669.104,118551.11,0.2818567,0.055033613,2.12239179036
071,0.0543418,19210.24,104514.766,0.26396215,0.055149425,2.10871556512
072,0.04590349,32681.11,190296.64,0.24472734,0.042064983,2.08592694779
073,0.050689008,17405.47,77712.0,0.269857,0.048389647,2.12185540343
074,0.031249462,22897.19,200368.38,0.322651,0.044163126,2.13666780599
075,0.042072702,16958.398,85011.55,0.18279187,0.0996798,2.22894304186
076,0.045941025,26043.05,207478.11,0.3819559,0.040286865,2.10887832472
