Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
1,0.047229756,10349.827,80124.18,0.4166853,0.043349948,2.1402469371
2,0.034469306,21364.55,173137.0,0.30759892,0.037214626,2.1090979123
3,0.040252503,20777.236,163056.08,0.30474472,0.03403068,2.10329059416
4,0.03891155,21452.418,150417.25,0.26062268,0.045564428,2.11745471703
5,0.037461065,21740.963,163704.75,0.3165162,0.032986056,2.10160799124
6,0.0398315,23231.459,201192.3,0.35191643,0.026294418,2.09727243369
7,0.048918266,14428.924,110039.945,0.3319511,0.04275623,2.09380986965
8,0.040362336,19891.021,148970.25,0.30255708,0.034378186,2.10114792267
9,0.046615835,17764.4,109081.984,0.29834878,0.038692623,2.09907049503
10,0.047782116,17297.691,112969.1,0.30544838,0.049437918,2.10311646974
11,0.03917296,17644.408,107679.07,0.29934654,0.039506104,2.10192760612
12,0.04169484,35782.723,233573.89,0.274211,0.03350749,2.08382643962
13,0.04551927,18116.096,106367.02,0.2544206,0.048671428,2.12050553149
14,0.051484693,18288.938,98629.3,0.27454725,0.054684713,2.11523194678
15,0.04040013,19528.236,116263.72,0.2861646,0.04216597,2.1146416018
16,0.045171216,18305.936,92897.53,0.255808,0.056699302,2.11738722155
17,0.06799789,15309.022,64597.44,0.28013727,0.06525372,2.10584406186
18,0.035665926,26289.72,203650.31,0.35296643,0.05026992,2.12440606594
19,0.03147174,22349.78,175269.84,0.2990155,0.041444108,2.12298651325
20,0.037430897,23887.9,172781.53,0.2746665,0.045548283,2.10090408211
21,0.03692239,23757.838,193212.28,0.3451607,0.0321424,2.09911892445
22,0.037524793,22562.973,208031.19,0.34927577,0.02837621,2.11243038028
23,0.035788998,24673.188,193918.17,0.31430212,0.039537687,2.11904958029
24,0.060293373,15471.43,99360.26,0.2710947,0.060477804,2.0995178492
25,0.040321425,20888.025,171861.98,0.40178224,0.024457783,2.09959590628
26,0.041298315,15877.092,98401.78,0.30897307,0.0457882,2.11535756507
27,0.03186186,22566.254,193779.39,0.3367931,0.035816777,2.10976547813
28,0.046454955,17644.29,93803.97,0.25281793,0.06479541,2.1268778644
29,0.08390734,16889.225,79262.91,0.23557661,0.07352964,2.13971157977
30,0.03946312,23902.87,192887.4,0.3317567,0.028121268,2.10270088305
31,0.056883488,14105.556,65199.383,0.29599294,0.07152265,2.11221365163
32,0.089546435,13178.596,54035.85,0.39112544,0.07274545,2.1594872632
33,0.04415886,14925.138,96362.96,0.33610764,0.039481368,2.10385324005
34,0.05342123,15326.619,85395.1,0.27960163,0.056860965,2.10708150237
35,0.064280555,15924.525,71835.336,0.3079626,0.057576094,2.1188980715
36,0.069770984,12997.876,46341.62,0.2737836,0.08104867,2.12934503133
37,0.04151611,12731.19,102189.66,0.3448424,0.048567526,2.12400791701
38,0.036881514,21451.041,189439.8,0.3359132,0.027467338,2.12432564177
39,0.032048464,28929.852,240694.16,0.2900295,0.04153727,2.10661259199
40,0.039332334,24491.982,202800.92,0.30766377,0.034526296,2.09797737816
41,0.04507424,17789.775,128917.97,0.3427144,0.035497934,2.09734848726
42,0.04333822,28344.52,194618.2,0.2939509,0.042335402,2.12853100546
43,0.0286515,43101.902,369138.34,0.29529226,0.029927213,2.09669600947
44,0.047960777,16169.592,109605.24,0.32774097,0.03852256,2.10385195897
45,0.045114383,18238.66,120269.82,0.32324672,0.03603383,2.09602346065
46,0.058130514,17352.412,93300.22,0.3362568,0.04398536,2.10438413753
47,0.04578813,19223.799,107615.82,0.28955007,0.038881615,2.10629431441
48,0.060253702,16531.318,73277.516,0.24915752,0.07022678,2.14246566721
49,0.0387216,18745.363,175612.45,0.40399528,0.026483234,2.10500302438
50,0.03759433,18684.3,174745.1,0.3604192,0.03531564,2.10680966284
51,0.03819792,20154.38,161228.11,0.32198313,0.03223925,2.10366962694
52,0.04662414,22326.158,178926.08,0.30130413,0.0480283,2.10558954032
53,0.04672134,25667.766,199828.4,0.33119154,0.032172665,2.10307433039
54,0.039048765,13273.574,91925.04,0.34820855,0.040930003,2.11445346427
55,0.051858827,15384.027,94654.32,0.33560616,0.059531312,2.10134920749
56,0.06615256,28183.621,154907.02,0.27123845,0.05658487,2.10678773436
57,0.062204238,18403.408,83744.09,0.25048774,0.06693855,2.1045942536
58,0.110938616,30000.174,156446.62,0.27327818,0.05703007,2.09027493629
