Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
001,0.041852072,14943.148,95249.375,0.2634163,0.08408218,2.15076233886
002,0.15155807,16458.34,59175.02,0.2748946,0.09516642,2.17793991654
003,0.058925014,19210.701,113727.38,0.25416264,0.057811785,2.09335755306
004,0.09614465,10541.761,37214.6,0.26431486,0.1007418,2.15536158426
005,0.05049398,12790.929,76063.7,0.3019709,0.055661112,2.10607570512
006,0.04165365,36875.094,279345.44,0.25118864,0.036308385,2.09888048625
007,0.04153253,20133.908,160130.05,0.3339544,0.038484823,2.10685951566
008,0.04373535,19350.514,119538.28,0.28663307,0.060327534,2.11473071101
009,0.15276806,3587.01,8397.404,0.41511664,0.12376288,2.22825382783
010,0.08420143,17826.238,94493.09,0.2734406,0.06438874,2.12444529495
011,-0.47177964,28620.08,104619.06,0.4097831,2.9712958,2.25619637298
012,0.075791575,24999.293,139620.3,0.2304299,0.064510874,2.10573773504
013,0.076831,16005.344,71040.1,0.355121,0.12241758,2.14704280739
014,0.11213271,12650.757,41450.406,0.33435553,0.08505904,2.14279330269
015,0.040089305,31428.053,345651.1,0.34439588,0.03813191,2.11296414933
016,-0.0064961044,18178.928,107994.11,0.14938277,0.15797497,2.18127472791
017,0.101601824,24524.617,136080.28,0.19471233,0.11147963,2.16926173273
018,0.04978094,21861.688,139969.75,0.25219974,0.06935875,2.17051533312
019,0.06283207,23700.568,125212.01,0.23821428,0.06482735,2.11076074579
020,0.040996946,20014.967,157613.31,0.32985467,0.041549433,2.10236924319
021,0.076529875,11480.509,35198.492,0.2773684,0.080874875,2.132576357
022,0.2932256,19407.986,116929.22,0.30373693,0.089875735,2.11290919499
023,0.09421834,12405.704,39215.484,0.23920116,0.08796623,2.14474638628
024,0.090676345,13956.25,58647.25,0.3149139,0.07485127,2.13198202403
025,0.051995404,13833.862,75811.86,0.30651587,0.044579882,2.09997059327
026,0.055479858,24740.398,154856.6,0.3055683,0.0463515,2.13052047662
027,0.042155746,22566.201,149886.0,0.29111418,0.03897504,2.08653986651
028,0.109777525,10100.99,34584.453,0.32795382,0.0858548,2.21012336933
029,0.03530786,21646.56,199336.19,0.2848136,0.05497121,2.10954482869
030,1.3430595,46129.58,256277.72,0.13781811,0.8754246,2.31624979664
031,0.13625911,11729.56,48989.207,0.33484352,0.08833866,2.10927161427
032,0.057474926,21866.557,139795.25,0.26230395,0.07035021,2.10447779393
033,0.12016841,14241.508,49728.73,0.32379976,0.08298903,2.23753297527
034,0.1142097,10312.53,33512.97,0.44745737,0.08341492,2.2756061985
035,0.111456156,9243.731,27994.822,0.33250818,0.09772714,2.14904161486
036,0.20532474,16903.076,61092.09,0.4256561,0.08403679,2.24339053025
037,0.40499866,10722.65,49502.51,0.25452605,0.28444603,2.12622636353
038,0.085569985,13193.609,40489.176,0.23069718,0.12188243,2.12760020034
039,0.048794888,13178.139,64248.957,0.2582424,0.07000102,2.12497765561
040,0.18245448,9251.554,27355.564,0.3263179,0.094860956,2.17630082338
041,0.1310527,5338.9453,13869.38,0.42860162,0.1027321,2.16981809585
042,0.07508693,13257.724,42276.816,0.26475757,0.07914772,2.11873013581
043,0.0654166,11445.726,71939.84,0.26601082,0.08725621,2.11308967542
044,0.08742238,9114.117,31402.475,0.28697336,0.10111269,2.20205060996
045,0.07727435,15157.632,62901.13,0.24730997,0.07212608,2.11605414769
046,0.106175154,13745.264,57873.07,0.25235355,0.10667026,2.16051205823
047,0.047966655,12354.076,63932.79,0.24042115,0.075747974,2.12922460384
048,0.07502796,10076.774,40654.547,0.3329387,0.082584724,2.15180417191
049,0.10248043,7581.5337,24246.777,0.27687764,0.09809807,2.1275578054
050,0.05150816,33046.633,205276.66,0.24558072,0.04311796,2.10189645657
051,0.06254776,13006.03,65846.91,0.24430777,0.0710336,2.10504116413
052,0.14115395,23150.203,115077.21,0.27620712,0.06780679,2.09926398496
053,0.30437848,5868.6094,15916.675,0.46747863,0.14163108,2.12483622109
