Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
1,0.039366417,15848.602,135280.47,0.3464552,0.051389854,2.126857306
2,0.03654978,31790.727,243648.8,0.28046495,0.043371458,2.114465874
3,0.03765359,24554.068,221968.47,0.34184164,0.026842684,2.09662070121
4,0.037101544,24093.58,177285.58,0.30749622,0.037122793,2.10215887241
5,0.043281723,14606.181,112418.5,0.3519751,0.033359624,2.10883600544
6,0.033265125,42045.414,426485.38,0.3580677,0.02086498,2.09573015075
7,0.03650051,21843.521,207115.47,0.37858656,0.022335075,2.10790257256
8,0.038483955,23435.248,209561.14,0.35990655,0.02741506,2.10842416209
9,0.054170374,16335.826,96687.38,0.33286402,0.056590214,2.10497456953
10,0.038853824,21694.373,168320.36,0.3032899,0.033010818,2.10595206739
11,0.03934722,28048.322,214264.17,0.2912405,0.03215686,2.10012618218
12,0.040265985,22888.52,168568.72,0.35234925,0.025728548,2.10897259466
13,0.042062778,17977.84,104367.56,0.27048284,0.051335685,2.11237148574
14,0.03097451,33553.668,412680.47,0.36572084,0.029151605,2.11325002855
15,0.012337688,19983.762,175453.55,0.2512483,0.057518627,2.15455365552
16,0.03897003,27008.742,248713.7,0.35490027,0.03485166,2.09304794902
17,0.040471815,25391.832,228068.69,0.36730546,0.032809734,2.13820109308
18,0.03651063,30076.613,260895.95,0.29795167,0.029616656,2.10188859656
19,0.03665331,20931.74,186647.72,0.37942588,0.02662655,2.10467357163
20,0.03859625,15915.88,94928.336,0.26664972,0.05608229,2.11847175638
21,0.04000124,24820.086,207342.92,0.3179234,0.029231196,2.09279103648
22,0.039306417,17292.258,106971.74,0.2528199,0.056328736,2.11040800188
23,0.039727625,17082.162,112063.734,0.30783424,0.040006835,2.10359339198
24,0.045535807,16048.49,114177.125,0.36223117,0.02963509,2.10009539223
25,0.040364,27016.725,211975.92,0.3214567,0.027383324,2.10254639123
26,0.037678868,24899.336,208684.25,0.35291854,0.02333421,2.09199322216
27,0.045802936,16861.7,110655.7,0.327256,0.03544587,2.09090451396
28,0.0360829,23815.895,263524.62,0.3872667,0.029231464,2.10787604788
29,-0.0061727297,42989.117,359787.0,0.3457958,0.12536731,2.11598588959
30,0.036344215,16683.824,127119.4,0.3272347,0.041967176,2.10916081827
31,0.037804298,25890.363,233882.56,0.34128952,0.026675664,2.09426259564
32,0.043101378,19136.7,124993.375,0.29033694,0.052091803,2.10371901838
33,0.03489208,16614.54,114021.93,0.30139905,0.04647976,2.11658599432
34,0.036933813,26397.934,207493.12,0.29231778,0.029185763,2.09658702924
35,0.039876528,29364.836,234598.77,0.30376554,0.03684803,2.09373361678
36,0.045647528,14122.405,99715.05,0.3340903,0.03828415,2.10641656603
37,0.04644815,17224.643,120765.55,0.30461308,0.03462421,2.10563321415
38,0.043744765,15859.157,119396.836,0.3979138,0.027047832,2.11300573095
39,0.047109313,17113.223,110535.086,0.32664952,0.03863339,2.09857907925
40,0.048952445,16528.219,101737.83,0.29417175,0.047032606,2.10007688186
41,0.050636273,18526.855,106150.42,0.31093627,0.044114728,2.11129963343
42,0.040933307,15164.249,136334.17,0.38497946,0.030180851,2.09759473031
43,0.042086583,16498.627,123507.5,0.30044082,0.04239025,2.10792628574
44,0.042698786,21706.025,164779.78,0.32433882,0.029011682,2.10412983553
45,0.03994387,18436.873,146321.52,0.34122947,0.028379586,2.09808709515
46,0.04028015,14796.597,116072.16,0.3128011,0.045589387,2.12584905009
47,0.051523436,16089.636,106656.55,0.31203702,0.04585882,2.09930196582
48,0.04489221,16734.889,116326.086,0.32715076,0.033837937,2.0971820841
49,0.035084173,37005.12,315920.84,0.31333664,0.024092024,2.09069007252
50,0.0429728,16099.959,125463.06,0.34770343,0.032429963,2.09836147523
51,0.042688347,30083.133,223600.53,0.3250469,0.02770696,2.09337123789
52,0.05140617,29234.254,200918.33,0.26985696,0.044682417,2.14099169921
53,0.05211502,17366.89,105606.53,0.31085196,0.045535725,2.11414070042
54,0.046176042,17585.172,112381.016,0.31612983,0.03976843,2.10222080862
55,0.042010438,17961.828,119019.81,0.30893198,0.035893727,2.09302221918
56,0.033849232,15477.657,133057.34,0.35169974,0.057946395,2.13172221388
57,0.030524442,38870.473,387564.06,0.29160225,0.034224674,2.1056074546
58,0.03652955,19328.781,178487.36,0.3633898,0.028131558,2.11407037625
59,0.043342818,17281.516,119863.89,0.31879485,0.036175642,2.09486485207
60,0.0411566,26417.506,225483.05,0.3378695,0.03155338,2.09751919616
61,0.04673801,14238.461,100302.57,0.33041355,0.04128603,2.11163847405
62,0.04143779,19191.234,140821.27,0.32095903,0.03236321,2.1088361101
63,0.048016533,15881.008,98074.836,0.2914084,0.051106345,2.10337375775
64,0.03934872,15128.294,106406.43,0.30334538,0.045091856,2.10334409983
65,0.050663132,16890.814,109259.23,0.3287822,0.040610366,2.1011199148
66,0.03940891,19284.094,125287.42,0.2854387,0.04292021,2.10305066157
67,-2.3799596,16979.314,99286.414,0.26300836,9.809606,2.11726688972
68,0.05060973,18321.107,91855.555,0.22123215,0.06362493,2.11439415395
69,0.04779582,19868.768,109040.04,0.26844615,0.04669605,2.11950333905
