Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
01,0.19409895,13771.31,22328.578,0.2760015,0.05583156,2.11394082914
02,0.1071483,10785.091,27693.83,0.2959768,0.04168507,2.10471129831
03,0.11571634,18417.021,35559.156,0.30125493,0.03476583,2.08376525666
04,0.11127951,14163.825,30505.893,0.31518757,0.03931613,2.08775284092
05,0.11533763,19488.229,39470.062,0.29599994,0.037438624,2.09066106967
06,0.121073544,17744.408,35478.266,0.30361342,0.03637166,2.07368487047
07,0.10788422,17221.229,37180.723,0.27591446,0.03835475,2.08388835958
08,0.11613532,15859.476,32780.133,0.30298343,0.036975455,2.08130485928
09,0.11395406,13787.979,32903.016,0.31955665,0.040318366,2.09142750691
10,0.09559922,17111.455,40615.86,0.30464667,0.03178101,2.08790566912
11,0.1572525,11867.749,18608.742,0.26290405,0.84028685,2.09190101085
12,0.12820034,13373.934,27393.645,0.31443164,0.04161427,2.09010228459
13,0.43069136,12911.029,17260.053,0.29744777,0.07298545,2.12537802776
14,0.13839845,21708.441,36665.066,0.27720383,0.045107108,2.08893849877
15,0.11835697,17325.588,37519.508,0.315762,0.038935345,2.08894216593
16,0.14992966,20740.39,29545.695,0.25780246,0.053017978,2.08510039099
17,0.23661052,7225.724,8889.527,0.37326106,0.0774596,2.16239303453
18,0.15126522,17070.291,30184.877,0.30170348,0.050074644,2.09092159444
19,0.114387415,13027.63,30278.928,0.29705918,0.0411149,2.08777574402
20,0.11161957,14768.347,33824.902,0.33359903,0.036728155,2.08188877811
21,0.11241519,15111.173,33829.94,0.3264314,0.036427274,2.09521455123
22,-0.009395834,5645.3066,8142.2544,0.36724374,2.4222138,2.21035977226
23,0.11730224,12651.79,27516.373,0.3118503,0.040464558,2.11644156442
24,0.090782255,14839.8,35582.32,0.29894945,0.0343692,2.07477988025
25,0.118514836,15266.905,28655.11,0.292163,0.037725527,2.07375631219
28,0.12139682,16173.433,32083.38,0.28097615,0.040007878,2.08612226967
29,0.16057378,15753.11,46966.29,0.33765978,0.044603158,2.0774391893
30,0.12801376,21682.123,36437.07,0.29149932,0.036888417,2.1108642265
31,0.12225886,15543.824,33041.434,0.3227502,0.037735008,2.09939981853
32,0.10210782,16610.416,35558.074,0.27474564,0.032810383,2.08463088208
33,0.11573368,16538.781,35103.36,0.3076157,0.03575239,2.09134082314
34,0.10581502,11834.102,26061.305,0.28861484,0.041681852,2.07074740704
36,0.12862219,18466.309,37040.64,0.33212534,0.04020734,2.07824525342
37,0.12159572,15467.924,30401.324,0.28321233,0.0416134,2.10272032248
