Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
01,0.0366124,19902.871,167391.61,0.3007425,0.04205164,2.10568326237
02,0.056647822,16491.895,92675.95,0.2831364,0.07306297,2.10279926236
03,0.038320977,24468.375,247644.03,0.3423395,0.03011292,2.1272555536
04,0.03900295,24377.32,268247.97,0.3421658,0.033207145,2.11689135092
05,0.033642907,24429.682,276812.84,0.3925284,0.02382932,2.10708685837
06,0.030782532,28498.756,289053.97,0.2998148,0.039891332,2.1036014312
07,0.03753732,28342.33,304613.62,0.34057286,0.029142637,2.10430289797
08,0.06441452,25160.527,255137.66,0.30842182,0.060156174,2.10180658886
09,0.03816679,27285.01,286150.44,0.32093307,0.03160196,2.09698970188
10,0.035250574,24521.781,262753.03,0.32613745,0.03188098,2.10881755652
11,0.041803133,27955.781,211265.12,0.2798724,0.045459718,2.1171681716
12,0.056028094,18149.344,114480.305,0.23764306,0.06421987,2.12111934051
13,0.03915056,24708.799,221795.5,0.28689358,0.0492956,2.11299984386
14,0.035904795,18659.662,165314.58,0.34632882,0.031080587,2.10820042157
15,0.039169695,19936.63,162593.55,0.29438058,0.035941847,2.10386183113
16,0.05135499,25108.41,194202.75,0.27678242,0.0430803,2.09780543497
17,0.035346262,30683.87,280023.94,0.31682327,0.028295457,2.1040756666
18,0.04407738,22444.742,192351.34,0.29653648,0.034668975,2.10638732809
19,0.046467047,20052.658,115186.79,0.22500782,0.052926075,2.10743888279
20,0.04865864,20133.379,117673.67,0.24635853,0.057105266,2.13308238782
21,0.040855963,27425.24,298706.78,0.31579956,0.0375586,2.10147091483
22,0.03668983,22198.64,200775.81,0.31409982,0.036890708,2.0988299283
23,0.04020124,21396.574,148344.03,0.2927872,0.042767495,2.10782745488
24,0.032978203,33528.992,315508.75,0.30250993,0.03639271,2.10580266223
25,0.07706148,4973.652,21472.88,0.31803823,0.08350029,2.1125077258
26,0.13993812,22897.92,131271.42,0.24708383,0.06391028,2.10779472372
27,0.03807201,23043.6,193883.61,0.2961254,0.045493804,2.11132596398
28,0.037233166,18952.87,158582.45,0.3254772,0.037327483,2.09986251809
29,0.048101377,19959.332,120665.336,0.2304717,0.053672753,2.10377307427
30,0.040276654,33412.246,365901.1,0.31270108,0.03465491,2.11021915786
31,0.028169358,43550.01,513465.9,0.3842391,0.017605292,2.10506439754
32,0.054206092,16668.12,132225.33,0.28368247,0.060307983,2.11996848338
33,0.057959463,26297.65,270552.9,0.33570582,0.04883832,2.11051908262
34,0.033679165,31592.186,325260.4,0.36820927,0.023906702,2.09557798835
