Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
1,0.041933775,17792.314,114625.76,0.25099334,0.04898562,2.10699323818
2,0.06843264,16105.222,87518.414,0.28382304,0.0757705,2.09740073359
3,0.045745086,22276.057,201808.06,0.3364867,0.045288537,2.13422014355
4,0.063129954,22714.043,235845.02,0.33126003,0.03671369,2.11569973853
5,0.012539889,22147.285,206657.06,0.29253715,0.0629137,2.1047642946
6,0.030194229,26894.326,243261.6,0.27273712,0.046895985,2.10703206626
7,0.03548923,25976.592,249178.83,0.32275388,0.035046123,2.10055772109
8,0.037175093,23012.55,206218.98,0.30280712,0.037255656,2.10052977515
9,0.039109625,23837.37,204943.36,0.29867274,0.03605325,2.10095189419
10,0.031037798,21838.178,196005.3,0.3334954,0.03327799,2.10689554386
11,0.037739057,27268.049,196895.55,0.2905654,0.038990688,2.11942796845
12,0.050783165,17116.934,99435.64,0.25483644,0.06396039,2.1202600664
13,0.03945718,23528.049,201107.12,0.2985033,0.046212874,2.11329194545
14,0.033013586,16702.906,127409.56,0.3029107,0.055785887,2.1038644474
15,0.040841103,18239.613,131124.73,0.28928065,0.039439324,2.10129814304
16,0.043713566,22956.607,150341.8,0.28539896,0.04579042,2.11025272401
17,0.03730005,28412.477,217166.2,0.29099762,0.032304786,2.10003381153
18,0.043838955,19733.941,138437.1,0.29827496,0.041993346,2.10101285844
19,0.04741212,18606.203,95340.02,0.2157175,0.056462195,2.10687992588
20,0.04496455,18606.625,95020.51,0.24946117,0.074847914,2.13968759487
21,0.035086114,26105.992,269717.94,0.31584784,0.034720585,2.10341338226
22,0.036272597,20652.41,157706.6,0.29305983,0.040463533,2.11026528033
23,0.042991754,20366.928,132031.05,0.2962768,0.04468544,2.10668394054
24,0.04107474,31230.703,245860.44,0.26784718,0.036426052,2.10488340133
25,0.10245104,7531.0493,32892.523,0.39883953,0.079820596,2.13046819679
26,0.06025722,23028.613,132495.19,0.24167122,0.057657298,2.10545342826
27,0.038203433,20900.174,147660.47,0.2894987,0.044550296,2.11047309051
28,0.04890659,17469.744,126217.42,0.30259287,0.046888586,2.1035157784
29,0.05265424,19471.443,115992.0,0.25876418,0.050701626,2.1007638532
30,0.03606595,31009.55,279847.53,0.25838372,0.048805986,2.11135782263
31,0.028231328,40590.715,410368.47,0.3106147,0.029304111,2.10356857163
32,0.032369845,15060.546,108208.14,0.27993318,0.07212471,2.11987662587
33,0.036391146,24572.234,222766.73,0.3162362,0.040136818,2.11440768158
34,0.03943053,28858.04,241228.55,0.31973127,0.041073244,2.10091834897
35,0.055124942,16155.64,101543.19,0.28798047,0.05778976,2.12706446819
36,0.032651607,17775.072,157471.03,0.33605826,0.044645004,2.11856760068
37,0.04074499,17296.02,132948.14,0.2884526,0.05744206,2.1372996681
38,0.04323005,18038.96,151369.1,0.29270005,0.054052122,2.13689186137
39,0.04649578,16984.014,151739.25,0.3942382,0.03519969,2.1213145722
40,0.041715305,16896.004,149694.28,0.34493953,0.036207,2.14386891337
41,0.069438055,14435.291,76308.164,0.27565882,0.07899585,2.14927233669
42,0.03720006,17525.98,147480.98,0.29931444,0.042298663,2.11275679871
43,0.051585943,16604.59,128047.32,0.27677044,0.062270906,2.11854051627
44,0.03723214,20595.045,158938.67,0.29521665,0.045629118,2.11495121013
45,0.03384361,27290.38,261762.36,0.30553097,0.030203003,2.10317745759
46,0.041008934,19389.896,158578.84,0.3113813,0.036155473,2.09912591176
47,0.029952379,21394.494,207338.66,0.32899657,0.04067533,2.1002900499
48,0.037930757,24560.254,244705.16,0.36318606,0.026241448,2.10013002117
49,0.039517477,18706.717,167214.69,0.33312646,0.029049221,2.10405418074
50,0.04474013,19115.342,155828.48,0.32835412,0.04609552,2.10363506401
51,0.03253841,28728.523,244565.22,0.30216727,0.03882772,2.11205062122
52,0.037978224,29646.117,249320.94,0.2964677,0.03355605,2.09387567874
53,0.041959684,20876.994,131049.195,0.25482184,0.05125164,2.11864241803
54,0.03284909,24018.656,179552.28,0.25333208,0.05338894,2.13234669321
55,0.20569685,32359.236,309129.66,0.29397398,0.04438254,2.11422891808
56,0.03653689,27500.51,273212.4,0.3211724,0.031164011,2.11958296299
57,0.05469591,14654.314,100114.305,0.27643186,0.06401902,2.13481652842
58,0.04011257,19018.277,130412.484,0.2738108,0.04334087,2.09297911335
59,0.04519776,14368.545,119490.984,0.3374839,0.043234345,2.12045506811
60,0.024835158,45477.1,520410.03,0.35116258,0.031381063,2.10863066028
61,0.041096848,20235.03,150763.52,0.28957143,0.04442988,2.10944868073
62,0.04271423,17057.422,137246.53,0.3199883,0.035952326,2.11174044445
63,0.04527736,30286.654,189921.88,0.24470474,0.037728474,2.09878943655
64,0.06543643,28971.965,173818.69,0.2598301,0.05093128,2.10088248001
65,0.03931236,18361.744,128021.61,0.31618652,0.04705185,2.11198790761
66,0.03989284,14814.592,146835.98,0.3734427,0.029527176,2.11009010863
67,0.036576055,15276.934,126547.32,0.31219774,0.052394528,2.11218283454
68,0.03953717,16807.73,145622.47,0.35411823,0.038865402,2.10139971817
69,0.039551824,16814.23,133776.12,0.31439096,0.056758456,2.12342133927
70,0.03398145,18997.248,140363.08,0.2778789,0.05816555,2.11463675576
71,0.038872045,18913.32,121367.56,0.27620617,0.048388205,2.12252907369
72,0.03243819,16344.8125,120137.016,0.26173434,0.055946514,2.12287416458
73,0.026443407,29283.96,295193.5,0.32018656,0.034594297,2.10915235868
74,0.032418545,29008.217,317335.72,0.38326597,0.02515127,2.10804578359
75,0.036091343,33364.89,300088.0,0.30027148,0.041275457,2.12620420917
76,0.03421606,32082.602,267033.66,0.27167946,0.036779273,2.10928221507
77,0.037278023,37345.39,410048.62,0.3432055,0.033744052,2.11720237377
78,0.037975937,15018.57,118771.46,0.3279735,0.045135066,2.12722171302
79,0.002699928,13531.881,105080.63,0.30036435,0.11726903,2.134963269
80,0.056372013,9464.885,61252.92,0.27198792,0.09037287,2.13320126008
81,0.05279013,12434.3125,88385.195,0.27328995,0.07008408,2.12362362301
82,0.04692374,13768.955,107391.86,0.30075628,0.043353982,2.09843063675
83,0.042629175,26771.305,226373.88,0.3076471,0.03403847,2.11203367498
84,0.051813547,20644.18,182348.55,0.3498282,0.04476237,2.0971428366
85,0.06716251,18072.791,116279.55,0.242324,0.063257225,2.13426538348
86,0.05399804,20207.41,152965.67,0.299135,0.04929192,2.10171510294
87,0.04134387,20094.371,153527.16,0.3270763,0.03896185,2.10090208727
88,0.03233306,26197.67,243819.25,0.33404365,0.032725215,2.11031936811
89,0.03928032,27176.742,255785.16,0.34398386,0.027054155,2.09176893718
90,0.043849103,31877.848,246647.55,0.26833504,0.036378417,2.11280211328
