Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
01,0.07663991,15301.855,47530.81,0.28557894,0.03451885,2.08188678213
02,0.2087321,10638.7295,19751.307,0.32906812,0.0712056,2.07010230029
03,0.08979296,16337.517,70899.47,0.34415302,0.03642617,2.10104881457
04,0.07272249,16694.695,76445.88,0.33181816,0.034455854,2.08441674828
05,0.07403088,18157.701,80812.516,0.3591013,0.0292804,2.08314256486
06,0.086214036,21185.656,78297.28,0.2940863,0.037981782,2.07638939011
07,0.081302024,21756.852,86090.6,0.34032914,0.029886259,2.08298916387
08,0.08144217,18976.85,70311.71,0.32022616,0.033018142,2.08120299346
09,0.07754579,21000.346,81364.18,0.3161951,0.030761806,2.08417628779
10,0.06902533,18524.373,76991.695,0.33690917,0.02735105,2.08567586217
11,0.1601887,20869.602,51501.547,0.29592294,0.04802644,2.09019897804
12,0.12698242,12107.7295,27108.006,0.29476085,0.054688536,2.07498262787
13,0.099820875,17945.432,57497.207,0.3054093,0.045864478,2.08699244456
14,0.08113705,14255.789,47939.277,0.33157104,0.031394053,2.08383452761
15,0.08089103,15289.953,46000.68,0.2816566,0.032966252,2.08066609848
16,0.120689586,19693.18,51228.78,0.30467167,0.04396406,2.08254465891
17,0.08438414,24541.107,79956.81,0.32223976,0.030870989,2.08697337845
18,0.08632994,17606.195,55109.703,0.29923674,0.03393565,2.08616828521
19,0.11866439,14450.82,25977.441,0.23868269,0.04854434,2.08536208589
20,0.14780112,13931.983,26985.244,0.29750973,0.053152952,2.10253651554
21,0.09429993,19507.773,73564.66,0.3057546,0.040400892,2.08057936251
22,0.09079499,16436.666,51793.13,0.30503592,0.038377676,2.08253870021
23,0.13757674,15186.302,32188.037,0.30324924,0.05703921,2.07974319096
24,0.07823474,25688.777,81481.23,0.29556164,0.031974446,2.08872018818
25,0.1671583,2206.182,3324.57,0.34694767,0.0957361,2.11756938023
26,-3.6345785,12158.76,20855.91,0.33356565,12.640956,2.08556266476
27,0.085006125,17576.96,50500.23,0.29751843,0.036750313,2.08116312794
28,0.09623285,13764.558,38994.645,0.30876264,0.043570414,2.07777157783
29,-1.9711922,11735.132,22661.438,0.26500195,4.675912,2.07692201046
30,0.07608484,25566.846,99025.68,0.30270958,0.032047294,2.08231231245
31,0.07432764,35020.098,147418.66,0.3320764,0.025810856,2.08186241336
32,0.08743878,11931.009,35178.22,0.29443508,0.04460369,2.10381844431
33,0.069605365,18597.352,76498.96,0.32627153,0.033471983,2.07906749059
34,0.07377612,24885.086,94349.63,0.32956654,0.026115606,2.07891395261
35,0.12725785,11817.524,27676.814,0.29834023,0.055781715,2.09665784781
36,0.08024553,12372.929,38952.723,0.30067202,0.04348625,2.09472669096
37,0.17204726,2121.6558,3683.8784,0.4222466,0.088430166,2.08086626199
38,0.10345817,9987.808,23784.88,0.31133208,0.05575292,2.12277801516
39,0.0909233,9457.859,29739.5,0.3594839,0.047003012,2.09823107568
40,0.08317054,10891.597,38548.598,0.33295184,0.043088716,2.09668038941
41,0.12058429,8771.464,17840.963,0.32353386,0.07168968,2.08878223362
42,0.0806332,14478.423,52767.445,0.318824,0.032723445,2.08909156556
43,0.081096664,12301.141,35828.38,0.28550214,0.048411474,2.07678340088
44,0.08265683,16492.752,55438.59,0.31681553,0.03813143,2.08028713687
45,0.06528381,23252.178,97832.1,0.33619094,0.025089992,2.08258062551
46,0.08277838,16317.936,55603.71,0.32213148,0.031393923,2.07918428311
47,0.06676644,17653.492,82211.28,0.33695415,0.02817728,2.08052610202
48,0.07921334,20206.744,83840.586,0.34636417,0.029062362,2.08490255352
49,0.07248328,15636.9,63666.676,0.3334969,0.028642265,2.0821719387
50,0.07738122,15729.64,57087.832,0.34174395,0.030293707,2.08047756344
51,0.09905562,22751.291,68277.266,0.29049954,0.037965693,2.08362875992
52,0.10462981,24884.584,76131.625,0.326893,0.035696406,2.06926938941
53,0.12584741,15218.112,34224.8,0.30385154,0.04925584,2.10154894731
54,0.084282994,17361.357,57045.574,0.2709812,0.0466236,2.09245683264
55,0.0998132,24359.648,84457.016,0.30506676,0.04077235,2.09220852799
56,0.06706921,22660.5,101480.71,0.35243797,0.027042031,2.09861397352
57,0.086526476,10418.245,29278.928,0.30115303,0.052933928,2.09338989049
58,0.087823756,17092.922,56811.477,0.33315182,0.035517853,2.07542163809
59,0.085717894,9171.557,30441.047,0.30988705,0.04928853,2.08497617038
60,0.09186617,37642.867,159215.62,0.3202142,0.034844257,2.09595155899
61,0.09874426,15083.735,36402.53,0.27815664,0.04103991,2.07941224338
62,0.08519579,13977.501,47426.434,0.3303838,0.0343189,2.08682696567
63,0.10267266,27278.941,69455.695,0.27874184,0.03713762,2.07657288437
64,0.228682,14745.596,25232.932,0.35025993,0.06843683,2.10254979683
65,0.12630728,11643.047,26867.227,0.36116278,0.050850533,2.08168116341
66,0.06828303,10368.707,51191.39,0.38770357,0.03233355,2.09032029837
67,0.080011375,11539.98,43707.266,0.33026633,0.037024647,2.0823533427
68,0.0759979,14053.345,56387.062,0.33819237,0.030593386,2.07940255072
69,0.074091405,12736.123,43615.113,0.3062855,0.042179298,2.09014146861
70,0.074491136,15525.813,54430.656,0.31196427,0.0307758,2.08129281684
71,0.078845285,14785.283,42696.04,0.30012432,0.036398027,2.09149462455
72,0.07749714,12944.328,43024.305,0.3048839,0.039790068,2.09121158851
73,0.07504237,21172.35,67622.22,0.28816026,0.034661524,2.08558094742
74,0.07532191,21676.9,82214.15,0.32163477,0.030139973,2.08833593253
75,0.3117481,23918.02,72803.19,0.30989155,0.044975348,2.074323291
76,0.122642145,24075.05,60661.434,0.2884512,0.041368313,2.08191393473
77,0.08811146,32110.826,148272.11,0.3575836,0.029920809,2.08227770635
78,0.077672526,10977.009,44960.816,0.38152844,0.033686373,2.10580609388
79,0.077706635,10039.845,39710.79,0.35633466,0.03419327,2.10151353699
80,0.091359615,6383.504,17796.875,0.2975781,0.076158024,2.10078757026
81,0.09260776,8893.835,28195.03,0.32309788,0.0563213,2.07555864002
82,0.09426254,11328.79,39909.61,0.3397902,0.03759152,2.07927635435
83,0.11306455,23438.973,85430.984,0.35665846,0.040131878,2.08672758937
84,0.09203503,16079.276,60498.98,0.34098363,0.036373097,2.07967372818
85,0.0921034,12609.4,31745.795,0.26532415,0.048598055,2.09058794356
86,0.0819789,17532.65,61141.12,0.31757528,0.033779986,2.08099046941
87,0.074499264,16859.592,60098.055,0.32925177,0.03058358,2.08314099331
88,0.07348095,22483.95,96415.24,0.34013176,0.027812764,2.09116432598
89,0.090533465,23859.352,100962.41,0.34572044,0.03210641,2.08089768006
90,0.10906592,26770.496,81808.29,0.31082842,0.040187847,2.09779409686
