Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
001,0.067173794,21999.701,88443.57,0.30980518,0.034559082,2.08501095059
002,0.06449938,18977.455,81180.38,0.31309313,0.03025987,2.08795756628
003,0.07516244,18547.445,76087.93,0.31602448,0.035242695,2.08111488249
004,0.14977425,19201.254,57474.113,0.27992055,0.056851204,2.07652922458
005,0.11214434,28584.367,80436.375,0.28187236,0.039407384,2.0859290109
006,0.25270548,18395.416,49170.72,0.27621427,0.07758199,2.08562799109
007,0.66621315,25580.686,73923.84,0.27552804,0.06641885,2.08342852137
008,0.24075449,878.37683,1203.9509,0.43630835,0.14587146,2.11859305917
009,0.0757354,9393.175,36237.27,0.33300924,0.05055573,2.07573641616
010,0.120247014,12190.402,33533.676,0.32351583,0.088764794,2.15170210905
011,0.077214226,11628.141,39016.215,0.29114607,0.049282957,2.0975171281
012,0.0780511,12521.206,40288.883,0.2932285,0.043827772,2.10259356716
013,0.13299042,11133.446,28927.35,0.29172418,0.06598361,2.09806063382
014,0.071747884,14081.013,51757.38,0.30131894,0.03939031,2.11036149513
015,0.08425415,9983.264,31261.8,0.30829212,0.06378958,2.09311944726
016,0.0997734,12908.738,36651.59,0.25597033,0.061180506,2.07607365577
017,0.06933605,12929.328,52534.363,0.3120002,0.04076258,2.09759474641
018,0.0790838,10835.528,39012.367,0.29677337,0.048007682,2.08995227837
019,0.09221928,15223.857,47218.973,0.30425823,0.04197904,2.08150187337
020,0.090373695,15870.223,51612.453,0.29547557,0.041072246,2.08371318732
021,0.08404779,15658.007,51416.688,0.29115644,0.041891914,2.08486931913
022,0.07353526,12562.04,38809.96,0.25536624,0.048539046,2.07806322962
023,0.06277266,19913.35,89649.375,0.32956576,0.029305791,2.088898741
024,0.07123232,13024.126,46978.703,0.30113715,0.04774908,2.10162422194
025,0.14812401,9281.32,23506.654,0.27424607,0.076808855,2.08439461844
026,0.07337975,11330.939,46057.8,0.32631883,0.04042185,2.0847490307
027,0.06355545,16072.65,63596.74,0.299435,0.035085116,2.08755448385
028,0.08851352,9227.044,26143.652,0.2989653,0.065712325,2.09441114071
029,0.32321456,324.9855,363.2587,0.30363518,0.3408129,2.12761713675
030,-0.20241588,14174.764,34400.707,0.28288993,0.9851199,2.0816049808
031,-1.4044151,14267.235,33493.156,0.31536832,6.4432774,2.1040810055
032,0.06873823,14677.457,54883.156,0.29681906,0.035382174,2.08378790943
033,0.07784317,13744.235,64070.312,0.38294235,0.05570765,2.07800353015
034,0.06512106,15894.636,68230.766,0.3179374,0.03505377,2.09144045295
035,0.062536284,16850.812,82006.24,0.3548062,0.02830789,2.08370554847
036,0.07065004,13018.323,47573.75,0.29088745,0.04083795,2.07934000018
037,0.11754277,15235.594,46652.99,0.262629,0.05701394,2.08491377103
038,0.06848258,16188.839,66779.055,0.3110417,0.03467226,2.08916814156
039,0.08664319,18144.328,76864.87,0.33582044,0.03749885,2.08242171755
040,0.076222435,12069.619,44812.996,0.30243176,0.044098414,2.08936970057
041,0.06652112,13995.757,49041.344,0.29730168,0.03801457,2.0891096221
042,0.1975015,8647.319,18959.195,0.37361884,0.0952177,2.156274384
043,0.07448168,14077.232,38791.81,0.24540623,0.053021666,2.10092612757
044,0.10073243,12774.605,39465.105,0.3373576,0.046589315,2.09367801141
045,0.20334692,1775.5391,2724.5796,0.46982735,0.122522414,2.05267801414
046,0.46706137,124.7645,106.52708,0.30774033,0.4874612,2.11316789936
047,0.114099115,12096.262,28463.008,0.30246687,0.056434594,2.06788339041
048,0.31204185,3017.464,4055.9802,0.5271964,0.31533667,2.12459980121
049,0.06954525,12879.474,48274.97,0.3045257,0.038178876,2.09129472292
050,0.06943904,14312.946,54500.66,0.31902078,0.03304809,2.08910586756
051,0.0955283,34165.555,142984.42,0.30921984,0.039249685,2.07562701703
052,0.123528294,12913.334,38480.836,0.29462814,0.061383292,2.09045603478
053,0.078851,15487.36,51434.41,0.29123706,0.041354194,2.08251187779
054,0.78202784,33708.555,115675.266,0.30175108,0.057214156,2.08518177844
055,0.10411107,36763.6,135871.6,0.29616514,0.039454762,2.07105939645
056,0.057329986,11302.066,61587.355,0.3735649,0.05909734,2.11057438409
057,0.061830238,18563.863,85685.38,0.31756106,0.030012932,2.09185121652
058,0.0620776,16881.436,65715.12,0.28641197,0.038858667,2.09778216733
059,0.06611321,12502.299,60126.992,0.36043334,0.051273327,2.10304227281
060,0.059737742,20937.139,86261.16,0.29473174,0.032041732,2.09248502437
061,0.083002895,11687.446,34069.273,0.25317803,0.059668258,2.09031814063
062,0.08411923,18285.115,62091.14,0.29800716,0.043699335,2.0753002677
063,0.07946047,18329.87,70493.02,0.27657056,0.044530608,2.09096083045
064,0.07897345,15269.24,42080.293,0.24971654,0.04892651,2.09425796257
065,0.07729937,17205.74,65796.56,0.30536562,0.03583302,2.08665417409
066,0.073422015,14519.92,53600.39,0.30133542,0.036431428,2.08938650245
067,0.1961827,7096.8716,12851.128,0.4098773,0.0948248,2.10197385258
068,0.16327968,5405.064,9905.104,0.42643628,0.09174858,2.05626188654
069,0.10348641,8036.451,23611.316,0.37614927,0.07572144,2.07061050011
070,0.07782182,14891.583,57408.664,0.31232938,0.042035498,2.08445323359
071,0.08363008,10501.94,31375.76,0.279337,0.053450283,2.07581960958
072,0.08851981,17808.676,64908.26,0.30850494,0.04486756,2.08322151693
073,0.072827935,17407.52,67737.9,0.30094048,0.035327382,2.06788298224
074,0.07948046,14837.307,48708.125,0.2790756,0.045942813,2.08824291244
075,0.08191996,12091.276,44957.156,0.30095524,0.04174598,2.0827312922
076,0.07271391,16050.438,69222.01,0.3445636,0.033113252,2.09113821104
077,0.07675485,13954.194,44605.363,0.26917732,0.046194974,2.08904423876
078,0.083070986,19566.305,80113.07,0.3360585,0.033949733,2.08208074783
079,0.088106595,12222.927,32745.482,0.2631872,0.05745275,2.10993721104
080,0.12565249,18537.934,48791.94,0.26828218,0.05303496,2.07716395113
081,0.07935897,13286.172,45204.742,0.31569725,0.041174755,2.09336304681
082,0.12529218,11571.603,25162.832,0.25107667,0.069396324,2.06922782622
083,0.09637653,11333.339,32430.16,0.30342355,0.057782874,2.08267023354
084,0.10121424,13038.919,41034.074,0.31734282,0.052466027,2.08714426975
085,0.1098846,10018.078,24314.27,0.3177612,0.072262816,2.07138327317
086,0.097888395,14699.104,41114.625,0.2765394,0.054244947,2.09619695393
087,0.1818145,5905.734,10030.571,0.45641518,0.09668574,2.13241436554
088,0.121018544,17266.766,43708.465,0.27375212,0.06448913,2.09488545988
089,0.13413222,9970.664,21225.572,0.28512245,0.07193301,2.11204722841
090,0.06543869,16677.404,70848.72,0.29194334,0.03536012,2.10788635488
091,0.09046425,10986.851,37046.414,0.30769563,0.05443386,2.09640810607
092,0.12635969,9879.478,22438.213,0.3319453,0.068555266,2.09365888962
093,0.081420064,14129.341,45418.906,0.30259863,0.042505372,2.0888565265
094,0.0861083,11869.452,32827.86,0.23294054,0.05616411,2.08523677968
095,0.09125205,19344.95,64926.57,0.2820711,0.041385718,2.08019807309
096,0.12014729,14229.955,47097.387,0.31911802,0.040677104,2.06597083144
097,0.10373823,13986.694,39305.8,0.29394636,0.047568254,2.07332486657
098,0.10421096,8375.945,15836.489,0.22321635,0.07403591,2.09805965867
099,0.09122874,13130.958,39129.27,0.2819363,0.050360024,2.09571240814
100,0.06512578,16072.53,65146.137,0.30866626,0.032488044,2.09679840258
101,0.06324126,11379.587,58124.31,0.3843646,0.047645062,2.0890435315
102,0.07545687,10100.869,42289.45,0.3578811,0.03952853,2.09015291396
103,0.06558493,16120.211,68362.75,0.30429322,0.03689965,2.08779410846
104,-1.7466688,11050.766,29173.07,0.26760867,8.373819,2.20616523884
105,0.13368885,6712.2847,15316.565,0.3906873,0.08781118,2.19662381836
106,0.08892991,13922.255,49562.12,0.29397637,0.04500587,2.07548967523
107,0.077320226,18338.89,81597.516,0.34509465,0.036757518,2.09186516404
108,0.072940156,14443.146,62603.832,0.32974112,0.03542912,2.09738878404
109,0.101626456,10636.72,29225.887,0.27155435,0.07269934,2.08960494664
110,0.13422258,7898.9717,20176.014,0.3195844,0.085499674,2.09692045416
111,0.108492315,17668.432,61902.605,0.3314259,0.04552149,2.07574236714
112,0.10227739,10528.195,26666.494,0.27209744,0.06642418,2.11373940291
113,0.08853478,14821.318,41741.973,0.2827111,0.050130498,2.09482006896
114,0.19994636,9568.315,20696.564,0.27426296,0.084506065,2.09080920496
115,0.17664532,3054.0037,5962.224,0.4704284,0.10992558,2.21059759967
116,0.1326805,11526.086,28813.334,0.28757158,0.06313827,2.08126430093
117,0.12282285,9145.874,18966.969,0.33342716,0.07537256,2.14051417492
118,0.08710107,13928.685,45463.45,0.29387477,0.041526675,2.07945422519
119,0.17046002,9406.07,20281.842,0.311992,0.08254014,2.10343248094
120,0.06748146,12705.916,47832.297,0.2995057,0.043815505,2.10123024311
121,0.08200228,22594.414,68443.42,0.24640456,0.04358085,2.0781405634
122,0.07069753,9680.026,35687.64,0.30060136,0.054087736,2.10252195902
123,0.07940571,22024.207,89744.64,0.3125355,0.035672944,2.08646701735
124,0.07743072,22689.373,92579.31,0.3116572,0.03129678,2.09615338737
125,0.0735991,24177.236,91888.41,0.3022961,0.032919277,2.0848327203
126,0.08415505,21952.47,86239.6,0.30920127,0.043401204,2.0703527104
127,0.14986324,24294.924,70403.13,0.30672696,0.054254122,2.07797623813
