Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
001,0.10738262,10805.873,29433.502,0.31296474,0.058255702,2.15068481994
002,0.06950073,12127.41,38445.793,0.27280852,0.043575324,2.09703212152
003,0.12596646,9899.215,17298.584,0.26491007,0.06947426,2.09056974508
004,0.08974148,13683.344,38619.19,0.28938568,0.047174107,2.07564573234
005,0.10698042,11366.716,35001.926,0.34174454,0.048282843,2.0773195027
006,0.14618064,12774.452,35654.008,0.29374525,0.053295024,2.07958341521
007,0.09014282,8165.993,16844.12,0.37289083,0.15396307,2.15875702679
008,0.050017077,15488.714,70545.34,0.28421965,0.052497625,2.104320444
009,0.14609873,29641.32,114532.03,0.22452722,0.06537202,2.12929501149
010,0.12969324,5952.6997,16524.574,0.3440333,0.08787493,2.11517665912
011,0.06143065,30953.21,164782.73,0.3628468,0.02291751,2.08252488865
012,0.0787012,12812.274,40871.74,0.2864014,0.043269675,2.08572707217
013,0.06609153,18783.168,73200.664,0.3129089,0.029051734,2.08481255113
014,0.07423974,11278.608,41148.96,0.30976257,0.05659493,2.08481305726
015,0.15034679,18975.268,73174.734,0.2800469,0.05969344,2.09101831898
016,0.070356235,12443.058,58641.27,0.35982057,0.033190116,2.09014198839
017,0.078923166,12469.708,49906.09,0.3327587,0.03705006,2.09222927002
018,0.07936628,17539.076,62359.41,0.31858984,0.03605478,2.08234408855
019,0.14618187,13995.385,32248.266,0.25434884,0.054738864,2.07996074354
020,0.17395121,1534.9668,2298.2476,0.355855,0.116335206,2.20903784809
021,0.16978957,1773.3387,2696.309,0.3799977,0.11775839,2.06852719938
022,0.07380082,13241.585,37744.484,0.25635934,0.046828557,2.08935240881
023,0.43265444,11576.458,18360.053,0.2922804,0.21058412,2.11659563501
024,0.078153655,13582.201,46773.547,0.29124752,0.043975476,2.09708872883
025,0.05588117,26322.965,165908.08,0.38440025,0.024007298,2.08531411418
026,0.07411378,8145.365,35595.418,0.350366,0.046018705,2.09170745619
027,0.07874146,10233.576,38007.332,0.31970358,0.044522718,2.08666010538
028,0.31747645,10826.291,26890.86,0.32916522,5.292354,2.16411444327
029,0.11600167,13436.074,41540.28,0.27817369,0.06262211,2.08990704598
030,0.076163106,16899.926,58354.438,0.30404353,0.037512243,2.07810098331
031,0.09428327,18823.76,61255.45,0.3080181,0.046593957,2.08434935416
032,0.094638996,10408.313,25900.162,0.26601946,0.053306054,2.08127462244
