Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
01,0.080881186,5012.148,22124.643,0.41560394,0.05467045,2.09266410028
02,0.075987965,7140.0347,30485.473,0.4197624,0.036704995,2.09132980639
03,0.07984466,11029.262,34967.953,0.31359386,0.072159976,2.10881829184
04,0.0783569,5252.499,23513.342,0.4493433,0.039301854,2.09163594351
05,0.1622517,2702.8108,4958.574,0.33614457,0.12879102,2.1213952811
06,0.08145363,6849.1685,13860.08,0.23900707,0.087165736,2.10648174953
07,0.15070507,4550.8267,8984.878,0.37179896,0.09868537,2.1414500025
08,0.09164369,6141.5273,22686.424,0.4431302,0.03591995,2.08594048539
09,0.10462441,8036.055,14625.373,0.26533678,0.06744313,2.11026701734
10,0.12615775,8805.32,19856.639,0.30443415,0.08146086,2.12839940393
11,0.24557374,5187.8145,8928.344,0.40194765,0.1255874,2.15454172257
12,0.3350619,364.89267,396.80942,0.2706477,0.3083882,2.12233763516
13,0.22977723,1992.8638,2220.796,0.38471502,0.123881094,2.04620577533
14,0.1879261,11312.032,20307.824,0.3142129,0.0704358,2.06291218849
15,0.4576203,175.35197,126.45924,0.28995436,0.389643,2.11869311817
16,0.32994834,3108.2356,3734.7166,0.4190274,0.11305471,2.11058881254
17,0.29458246,4507.8677,4537.0273,0.42299452,0.10202802,2.1789989558
