File,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
01,0.14156118,9290.34,19420.223,0.36380148,0.053636987,2.10112131814
02,0.12929024,11984.318,25415.191,0.32386047,0.044938285,2.09368822311
03,0.10058313,10036.4375,24623.176,0.3118052,0.040038723,2.08777906864
04,0.117768124,8274.747,15454.142,0.27546802,0.04909766,2.08037078023
05,0.08407219,5988.117,21319.674,0.35723355,0.04213456,2.08584759967
06,0.09301141,5180.6406,17584.518,0.37646347,0.055024352,2.10425238691
07,0.0790779,11462.53,42172.027,0.33331838,0.03379919,2.08440683953
08,0.08144063,6403.0854,20081.293,0.3612806,0.047768857,2.09779631546
09,0.08598997,7784.4546,28323.164,0.3757687,0.036965206,2.08177438821
10,0.09110041,7147.427,22321.922,0.34092996,0.042817477,2.09207955972
11,0.08717966,8279.389,27346.836,0.33831525,0.037072293,2.08371948438
12,0.08560883,8846.108,30534.756,0.3654822,0.035512734,2.08317341998
13,0.096635364,9275.636,29932.01,0.38663957,0.038295012,2.09779977224
14,0.0931083,10675.749,27457.97,0.3011368,0.036223266,2.07809687927
15,0.12192977,10747.76,26466.78,0.33287698,0.045266934,2.09833639511
16,0.12955065,9836.566,21376.117,0.34210208,0.047470637,2.08907390474
17,0.18606207,17525.768,33101.203,0.33898655,0.06171095,2.05461161208
18,0.093423404,9673.995,39575.535,0.311806,0.07095119,2.09011056383
19,0.08237709,4965.7188,20520.637,0.46842894,0.041182086,2.09541894706
20,0.10136889,12477.083,43462.746,0.35028082,0.044040132,2.09208956604
21,0.090015106,8434.408,29627.87,0.35095283,0.038038913,2.08659404177
22,0.096466385,6351.2485,19254.979,0.36770353,0.05317924,2.08688442838
23,0.08224626,11370.473,42100.48,0.35066986,0.034444734,2.08238294061
24,0.08504532,9562.914,36685.273,0.36865237,0.0352845,2.08226385134
25,0.08648317,9155.907,29900.424,0.34643286,0.03517566,2.08422785953
26,0.09332447,9071.657,28113.791,0.34418616,0.04282167,2.09691813811
27,0.09484058,7211.449,20736.777,0.31262594,0.049544882,2.0842608261
28,0.08320841,6194.1426,22903.771,0.40583777,0.03887407,2.10002460157
29,0.10225416,8557.545,26731.957,0.36808065,0.04324387,2.09399493291
30,0.12072015,9510.735,23306.955,0.32224593,0.05191295,2.05874244495
31,0.090040036,9144.865,29648.137,0.34804586,0.036413252,2.09013708751
32,0.09064454,14719.4,43594.246,0.31528154,0.03316702,2.08008861722
33,0.0770489,14994.988,53625.32,0.34000918,0.029554667,2.08488566091
34,0.12435274,11176.6875,24434.13,0.2925213,0.04545143,2.09842759383
35,0.13950431,11836.892,20233.139,0.2831121,0.050878383,2.08225568562
36,0.1047468,18049.328,38453.367,0.28173053,0.0351738,2.08178126935
37,0.07535795,6361.3096,29278.787,0.38141352,0.041868586,2.10390529219
38,0.07643254,8642.847,38481.17,0.37577525,0.03972615,2.11389418996
39,0.07871166,6912.1343,27912.031,0.35065958,0.042544346,2.110783875
40,0.08897827,9203.783,36752.1,0.3796525,0.03992784,2.11537650148
41,0.12173564,4047.041,10448.683,0.35204756,0.07836831,2.11143961446
42,0.08367085,13005.928,48765.746,0.34489658,0.032806717,2.09409300267
43,0.11187014,6820.6978,17834.79,0.36575156,0.06451129,2.11678225453
44,0.09196188,6371.406,22104.037,0.3846585,0.04225171,2.08643152067
45,0.09457474,9161.449,30088.69,0.35785276,0.0416655,2.07899815581
46,0.107891135,6523.4434,17343.143,0.3390575,0.052667663,2.08782991343
47,0.10668206,7745.057,22012.479,0.34538454,0.0426006,2.09343126363
48,0.22175969,7577.0522,11060.482,0.30833253,0.09611582,2.17899546231
49,0.084331974,14085.211,41074.094,0.3074575,0.03212909,2.07334268338
50,0.11441954,10548.572,24284.053,0.31403068,0.04195383,2.0810892914
51,0.10217428,15578.107,36595.215,0.3001384,0.03581481,2.08599624671
52,0.07715874,11971.417,48858.207,0.3718089,0.03288834,2.08584692094
53,0.08482403,9706.781,33103.504,0.35252392,0.035127673,2.08712203921
54,0.09891398,8912.704,28203.232,0.34696162,0.039927106,2.1141088421
55,0.08537643,13603.14,47984.61,0.36364523,0.032862194,2.08772597199
56,0.103528276,5072.5117,13060.689,0.34413952,0.06844689,2.0923589092
57,0.09931554,9694.037,27385.256,0.33234105,0.039219286,2.09478601196
58,0.09591517,12698.393,39556.67,0.37783015,0.03606994,2.0961258987
59,0.11640211,5263.366,11026.243,0.3005644,0.069848135,2.07173268634
60,0.11636439,7349.3086,14162.428,0.2878516,0.051452346,2.09329477559
61,0.095241085,14303.8545,43906.086,0.3542603,0.03457132,2.08497754504
62,0.11715601,11907.5,28784.979,0.34101275,0.03972725,2.09790464985
63,0.1286963,8556.645,19814.162,0.3431973,0.05291553,2.08407983474
64,0.11719304,14205.953,28112.994,0.2862765,0.038203515,2.09393010183
65,0.1662818,11133.071,20174.6,0.31422848,0.055024046,2.08051644392
66,0.20121536,595.8554,1104.5951,0.37980056,0.12974957,2.10736620314
67,0.08125488,4949.2007,20711.387,0.418877,0.041575767,2.09541479928
68,0.0847729,6215.683,25789.229,0.39126065,0.043102715,2.0856559183
69,0.08796488,6934.494,27898.338,0.38822815,0.043493945,2.09842295063
70,0.09541652,7930.945,26505.8,0.35207212,0.043993775,2.08989210485
71,0.094806574,4677.3354,15595.198,0.39272505,0.048074245,2.09584638302
72,0.0892777,8879.538,31673.406,0.3557752,0.039264306,2.07861382044
73,0.06897178,11322.193,49518.19,0.35447204,0.030343335,2.09161119441
74,0.09372574,6208.6045,20992.506,0.35433516,0.042879175,2.09986581676
75,0.088566616,8814.489,27610.893,0.31738615,0.04142848,2.08551760463
76,0.0868874,9585.681,32252.658,0.35687017,0.035976782,2.0822617388
77,0.10482287,7527.233,24420.443,0.39051127,0.044209942,2.09251487434
78,0.22883567,3250.9763,4651.932,0.4545207,0.109285794,2.18967664174
79,0.19897269,2980.36,4607.2847,0.4207241,0.11127067,2.1834188129
80,0.14593902,4463.826,8834.347,0.36965275,0.060822833,2.10891357859
81,0.08828518,9663.915,32564.44,0.37270117,0.03536043,2.07955477284
82,0.08386913,14668.591,46121.406,0.3201664,0.032517925,2.09125809081
83,0.09570772,9628.091,29391.795,0.33060765,0.041127242,2.07241182551
84,0.27492586,1484.7285,1547.7754,0.40014997,0.12932974,2.17319995346
85,0.09262054,11604.76,34705.465,0.34210458,0.036393717,2.09797834516
86,0.10874486,10897.395,26813.56,0.32851607,0.03680454,2.08258639163
