Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
1,0.044357076,12774.572,104754.85,0.3944057,0.030067042,2.09464176953
2,0.041324187,13050.304,101811.48,0.3699417,0.038755495,2.12216601286
3,0.04392967,11612.498,99010.625,0.4620836,0.025811898,2.10740721063
4,0.045697205,12540.285,95098.89,0.40213448,0.02593381,2.10947388393
5,0.04550013,11252.255,94982.42,0.47042945,0.02434312,2.11357123956
6,0.04166339,12290.728,94169.4,0.4030583,0.02598269,2.10368587529
7,0.045493077,10949.448,94198.82,0.45372668,0.02848341,2.11267117651
8,0.05111426,14085.702,93794.45,0.35771808,0.036631063,2.12466803105
9,0.047061767,11176.971,93702.664,0.41520485,0.035631936,2.12216699846
10,0.053241238,12142.047,92402.25,0.34095675,0.038747195,2.10507512519
11,0.042918015,11114.96,92494.984,0.45832616,0.025488965,2.10664849426
12,0.044006344,11799.119,92369.7,0.40039754,0.028019598,2.10592803437
13,0.044805724,11750.446,91693.664,0.4507653,0.02447727,2.1029240155
14,0.042346623,11149.803,91275.03,0.4750254,0.0239153,2.10626139502
15,0.05644497,10373.714,81865.46,0.3891099,0.054321364,2.10025443135
16,0.046097364,10683.522,81477.5,0.42220715,0.028097525,2.10645595252
17,0.05011359,9776.848,79632.37,0.3675478,0.041026328,2.11394468024
18,0.048069976,9988.76,78984.71,0.42364025,0.028452525,2.12449542886
19,0.049051978,10650.127,78204.67,0.3895251,0.034658752,2.11484988114
20,0.05268937,9660.349,76692.85,0.34429225,0.044608746,2.1170149673
21,0.05011913,9146.224,75047.49,0.43032902,0.03339341,2.11485615144
22,0.05161253,9369.628,72787.5,0.4085397,0.036313117,2.11882776168
23,0.04826726,9333.897,72727.03,0.3803384,0.033501327,2.11912098376
24,0.053323485,10190.824,72080.375,0.39269552,0.033529796,2.11903158296
25,0.05194387,8524.01,61623.867,0.39854103,0.034557816,2.10799790368
26,0.049790066,8221.9,56240.69,0.35708672,0.04354507,2.1058451433
27,0.0598319,10160.53,53224.07,0.3194839,0.050091702,2.14372516325
28,0.063165195,7367.536,42450.566,0.3546362,0.03632759,2.11484322335
29,0.064482406,6950.096,39501.355,0.29651347,0.054203406,2.13275627993
30,0.07006531,7176.9453,30278.037,0.3277822,0.06640419,2.14543824266
31,0.07487142,3695.6401,13705.408,0.22744557,0.07612755,2.10958176449
32,0.21294166,630.36914,1063.2501,0.25642377,0.23957908,2.14384053898
