Case,AvgMeanCurvature,ComputeArea,Volume,ShapeIndex,Curvedness,FractalDimension
1,0.045273714,14465.709,109497.055,0.40861553,0.023744026,2.10679921823
2,0.04326752,16539.904,108943.66,0.35621205,0.02413322,2.09741904684
3,0.049805045,13221.593,107205.85,0.3141798,0.04315666,2.12756854496
4,0.04086114,13179.346,105779.984,0.41664758,0.024668504,2.09919428773
5,0.04422257,11816.52,96867.59,0.4565982,0.02424243,2.10658852758
6,0.049172226,14466.159,93522.86,0.31949604,0.036692157,2.1026385627
7,0.052525006,12053.891,87867.44,0.3345136,0.035581715,2.10431815067
8,0.05026859,11095.238,85570.33,0.34446907,0.038198844,2.10154627072
9,0.050308183,11972.384,82027.96,0.32923684,0.03202149,2.11185699176
10,0.057106268,10346.644,78128.62,0.3326051,0.043461103,2.10567543494
11,0.047294274,9699.951,78355.19,0.42932346,0.030608924,2.1116248975
12,0.050844163,11190.325,77630.875,0.33185515,0.03389843,2.09759171815
13,0.05316899,11530.316,76662.63,0.35963,0.033119988,2.10004274647
14,0.058967456,10589.5205,75159.695,0.36650476,0.041972216,2.11362477662
15,0.05264137,9022.477,64597.09,0.3789425,0.039902087,2.10243297516
16,0.053858723,9402.707,63631.06,0.30012,0.045674402,2.10888139686
17,0.05156907,9392.317,63102.3,0.33265355,0.036616217,2.11040268721
18,0.055021003,9145.551,62737.1,0.32880476,0.040673107,2.11711197487
19,0.051723458,8465.827,57123.023,0.34169066,0.03762097,2.10073094081
20,0.058014147,8833.02,56675.906,0.3145224,0.043526795,2.11850827125
21,0.055411637,9100.561,55691.523,0.35067362,0.03760379,2.10672490797
22,0.05399935,7949.017,55773.133,0.35865352,0.042244937,2.11810866873
23,0.051202312,8315.348,55522.26,0.35512155,0.045129173,2.100529042
24,0.05308626,8706.399,55179.13,0.33023366,0.04099669,2.12093463645
